nodes graphs
0 1
1 1
2 3
3 25
4 543
5 29281
6 3781503
7 1138779265
8 783702329343
9 1213442454842881
10 4175098976430598143
11 31603459396418917607425
12 521939651343829405020504063
13 18676600744432035186664816926721
14 1439428141044398334941790719839535103
15 237725265553410354992180218286376719253505
16 83756670773733320287699303047996412235223138303
17 62707921196923889899446452602494921906963551482675201
18 99421195322159515895228914592354524516555026878588305014783
19 332771901227107591736177573311261125883583076258421902583546773505
20 2344880451051088988152559855229099188899081192234291298795803236068491263
21 34698768283588750028759328430181088222313944540438601719027559113446586077675521
22 1075822921725761493652956179327624326573727662809185218104090000500559527511693495107583
23 69743329837281492647141549700245804876504274990515985894109106401549811985510951501377122074625
24 9435783448661850893816115284839365213984019064983097142538776232515861210619999018077882548839455391743
25 2659573607783738179758941561138186421363414463022886805387237791664160209221179044776702988190938181603615047681
26 1559227187917520842429876023468198282244296485924158177843879995504975713104498280490022519405725185980503846315731451903
27 1898572539352112902539049215571242209755148900609159138934393955263367380753031485277079300122344244955201729914201764776078475265
28 4794786280602829422460427154068780489463183648964734115927219608318409244081523747287574709934462773755811133453901649587691253340143878143
29 25083103790725120179833924207792051976742896280593618775369050154399222269320574321679660174232650941993966900034589084700549741965109623393857044481
30 271485443716752943844808616164267238071595554149100046470743664333951689240913458768567182648011040358976634252990715237305791310221459864881091225593413894143
31 6072706019466386265528699209189938220593188439186527204170445606766703750059676384900365556747095743863476672258051918469509019471138102434210252789968133169185265025025
32 280437602748385967554186931357700835062721340547657700795574425572761225701358502579415495032537741734590596186513097956159387918783138541728110483596251407002957420817588854718463
33 26710633713416622228788801344471944343909940717233300026754984060027643498715166601074827449353537459974433843522601330361926883460427223885466650239991029614464264453290589114100799263211521
34 5242363250500424345031956975804309494911577425390434173991750093572805860302708911790344570671232111706895608920093813763163407839672660260756182971908622532931295557213501003658530049109844433991368703
35 2118308223293985938009356010711741179841715795386883768700538536097498575188586977513623687317456658057830008465493170833356169087088663446772977119898808684725518770983490561632501661089948031173514405397558984705
36 1760822770957920461924602515971260781006067168583671173455237596873090749917013588627425100158488863126278932878846597179004950746442198371086940020478128780869471234182858430591546387574986173331055500289586534849921421410303
37 3008647851759042840443384491061626036322701477719555975292468724990649908063541867298804297265827403064568270844613733258412702701893011362141646421091128011439997582196544748957022134378544594627391719994701338083485237521396129805107201
38 10559392652157409828893333716891114976111173778603413763893510572032945250755959529098460548125387692974589402478585856529383523847921201498174748108228077170815868231166767706991256765836863022419519638137801336124485494458936328112589857048687017983
39 76070719934040846389808723391839296889767106725478508006868823454053622580696005347388739226192602321483075645792695742023894658554262779443300127102502859491100667975308835756528117538949338688339557466246362621069557442675127491207386854863968988409898733666305
40 1124142826305737256464230895278448781390071741376895667556937826610287298604919257127517041407154433399577243209435396686864666417021278852203601866905896424783833440845926233737929515363037858893231186589252067606654039287879847312685707656310916531688377838890122584589860863

