,Date,Opp,WL,TmScore,OppScore,FG,FGA,FG%,3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,TmeFG%,TmTOV%,ORB%,TmFT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Home,Opponent_PlayOff,WinsInLast15,WinsInLast10,WinsInLast5,days_between_games,ORtg_rolling_mean,DRtg_rolling_mean,TmScore_rolling_mean,OppScore_rolling_mean,Team_Prospect
0,1983-10-29,NJN,True,104,97,35,78,0.449,0,0,0.0,34,44,0.773,8,41,23,7,1,21,31,36,77,0.468,0,6,0.0,25,41,0.61,8,36,20,7,5,22,33,97.6,91.0,106.6,0.564,0.0,0.534,53.2,65.7,6.6,1.4,0.449,17.7,22.2,0.436,0.468,18.8,80.5,0.325,True,True,1.0,1.0,1.0,0,97.6,91.0,104.0,97.0,True
1,1983-11-01,PHI,False,91,99,36,103,0.35,0,5,0.0,19,26,0.731,26,55,23,11,9,16,30,39,80,0.488,0,0,0.0,21,30,0.7,12,51,27,9,19,22,19,90.2,98.1,100.9,0.252,0.049,0.398,51.9,63.9,10.9,11.3,0.35,12.3,40.0,0.184,0.488,19.1,70.7,0.263,False,True,1.0,1.0,1.0,3,93.9,94.55,97.5,98.0,True
2,1983-11-03,NJN,False,107,112,38,96,0.396,3,4,0.75,28,36,0.778,14,39,14,10,4,21,31,42,84,0.5,0,2,0.0,28,37,0.757,17,57,29,12,10,19,26,99.6,104.2,107.5,0.375,0.042,0.478,40.6,36.8,9.3,4.9,0.411,15.8,25.9,0.292,0.5,15.9,59.5,0.333,False,True,1.0,1.0,1.0,2,95.8,97.76666666666667,100.66666666666667,102.66666666666667,True
3,1983-11-04,ATL,False,90,103,30,80,0.375,0,3,0.0,30,41,0.732,25,53,13,6,3,26,25,42,86,0.488,1,1,1.0,18,26,0.692,19,46,31,14,13,18,27,93.7,107.3,96.0,0.513,0.038,0.459,53.5,43.3,6.2,3.5,0.375,21.0,48.1,0.375,0.494,15.6,59.6,0.209,False,True,1.0,1.0,1.0,1,95.275,100.15,98.0,102.75,True
4,1983-11-08,KCK,True,100,97,42,83,0.506,0,0,0.0,16,23,0.696,15,43,31,5,7,25,25,40,93,0.43,1,5,0.2,16,22,0.727,16,40,26,13,5,20,26,99.3,96.3,100.8,0.277,0.0,0.537,51.8,73.8,5.0,8.0,0.506,21.2,38.5,0.193,0.435,16.3,63.6,0.172,True,True,2.0,2.0,2.0,4,96.08,99.38,98.4,101.6,True
5,1983-11-11,WSB,False,124,125,48,100,0.48,1,2,0.5,27,35,0.771,20,56,29,13,4,19,34,47,95,0.495,0,1,0.0,31,33,0.939,12,46,35,11,7,16,31,110.8,111.7,92.6,0.35,0.02,0.537,54.9,60.4,11.6,4.3,0.485,14.1,37.0,0.27,0.495,12.7,75.0,0.326,False,True,2.0,2.0,1.0,3,98.53333333333335,101.43333333333334,102.66666666666667,105.5,True
6,1983-11-12,BOS,False,101,116,39,82,0.476,0,2,0.0,23,35,0.657,9,31,28,9,7,20,34,45,91,0.495,0,3,0.0,26,36,0.722,22,49,23,12,5,20,27,98.4,113.0,102.6,0.427,0.024,0.518,38.8,71.8,8.8,8.0,0.476,17.0,25.0,0.28,0.495,15.8,50.0,0.286,True,True,2.0,2.0,1.0,1,98.51428571428572,103.08571428571429,102.42857142857143,107.0,True
7,1983-11-15,DET,True,112,110,45,89,0.506,0,0,0.0,22,29,0.759,14,45,32,11,11,16,28,42,86,0.488,1,1,1.0,25,30,0.833,13,44,30,8,9,20,27,108.7,106.8,103.0,0.326,0.0,0.55,50.6,71.1,10.7,12.9,0.506,13.6,31.1,0.247,0.494,16.8,70.5,0.291,True,True,3.0,3.0,2.0,3,99.7875,103.55,103.625,107.375,True
8,1983-11-17,SEA,False,110,119,47,92,0.511,0,2,0.0,16,20,0.8,10,42,33,4,8,13,25,43,95,0.453,1,1,1.0,32,36,0.889,21,55,29,11,6,10,18,110.3,119.4,99.7,0.217,0.022,0.546,43.3,70.2,4.0,8.5,0.511,11.4,22.7,0.174,0.458,8.3,60.4,0.337,True,True,3.0,3.0,2.0,2,100.95555555555556,105.3111111111111,104.33333333333333,108.66666666666667,True
9,1983-11-19,IND,True,110,105,44,78,0.564,0,0,0.0,22,32,0.688,11,30,28,20,5,27,26,36,70,0.514,1,4,0.25,32,35,0.914,9,33,16,15,10,31,33,104.9,100.2,104.8,0.41,0.0,0.597,47.6,63.6,19.1,7.6,0.564,22.7,31.4,0.282,0.521,26.6,67.9,0.457,True,False,4.0,4.0,2.0,2,101.35,104.8,104.9,108.3,True
10,1983-11-23,UTA,True,128,117,53,96,0.552,0,0,0.0,22,28,0.786,12,42,31,7,7,15,30,39,98,0.398,2,7,0.286,37,41,0.902,23,56,18,9,6,17,24,119.7,109.4,107.0,0.292,0.0,0.591,42.9,58.5,6.5,7.7,0.552,12.2,26.7,0.229,0.408,12.8,56.6,0.378,False,True,5.0,4.0,3.0,4,103.01818181818182,105.21818181818183,107.0,109.0909090909091,True
11,1983-11-25,PHO,False,94,120,35,78,0.449,0,1,0.0,24,30,0.8,9,35,28,8,5,16,30,50,88,0.568,0,0,0.0,20,32,0.625,14,42,22,11,5,13,28,96.7,123.5,97.2,0.385,0.013,0.515,45.5,80.0,8.2,5.7,0.449,14.9,24.3,0.308,0.568,11.3,65.0,0.227,False,True,5.0,4.0,3.0,2,102.49166666666667,106.74166666666667,105.91666666666667,110.0,True
12,1983-11-27,LAL,False,100,103,38,90,0.422,0,2,0.0,24,26,0.923,15,41,24,8,1,15,28,40,79,0.506,0,3,0.0,23,31,0.742,11,38,24,9,10,18,23,103.9,107.0,96.3,0.289,0.022,0.493,51.9,63.2,8.3,1.3,0.422,12.9,35.7,0.267,0.506,16.3,70.3,0.291,False,True,5.0,4.0,2.0,2,102.6,106.76153846153846,105.46153846153847,109.46153846153847,True
13,1983-11-29,HOU,False,110,116,38,82,0.463,0,3,0.0,34,48,0.708,13,29,13,10,0,15,36,38,81,0.469,0,0,0.0,40,53,0.755,20,53,20,6,7,22,34,109.2,115.1,100.8,0.585,0.037,0.533,35.4,34.2,9.9,0.0,0.463,12.7,28.3,0.415,0.469,17.4,44.4,0.494,False,False,5.0,4.0,2.0,2,103.07142857142857,107.35714285714286,105.78571428571429,109.92857142857143,True
