Date,Opp,WL,TmScore,OppScore,FG,FGA,FGPer,Tm3P,Tm3PA,Tm3PPer,TmFT,TmFTA,TmFTPer,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF,ORtg,DRtg,Pace,FTr,Tm3PAr,TSPer,TRBPer,ASTPer,STLPer,BLKPer,TmeFGPer,TmTOVPer,ORBPer,TmFT_d_FGA,OppeFGPer,OppTOVPer,DRBPer,OppFT_d_FGA,Home,Opponent_PlayOff,Continuing_Players_WS48,Leaving_Players_WS48,Incoming_Players_WS48,WinsInLast15,WinsInLast10,WinsInLast5,days_between_games,ORtg_rolling_mean,DRtg_rolling_mean,TmScore_rolling_mean,OppScore_rolling_mean,Team_Prospect
1983-10-29,NJN,True,104,97,35,78,0.449,0,0,0.0,34,44,0.773,8,41,23,7,1,21,31,97.6,91.0,106.6,0.564,0.0,0.534,53.2,65.7,6.6,1.4,0.449,17.7,22.2,0.436,0.468,18.8,80.5,0.325,True,True,0.2747083333333333,0.0713333333333333,0.0839166666666666,1.0,1.0,1.0,0,97.6,91.0,104.0,97.0,7.0
1983-11-01,PHI,False,91,99,36,103,0.35,0,5,0.0,19,26,0.731,26,55,23,11,9,16,30,90.2,98.1,100.9,0.252,0.049,0.398,51.9,63.9,10.9,11.3,0.35,12.3,40.0,0.184,0.488,19.1,70.7,0.263,False,True,0.3086666666666667,0.0541875,0.0649375,1.0,1.0,1.0,3,93.9,94.55,97.5,98.0,-0.5
1983-11-03,NJN,False,107,112,38,96,0.396,3,4,0.75,28,36,0.778,14,39,14,10,4,21,31,99.6,104.2,107.5,0.375,0.042,0.478,40.6,36.8,9.3,4.9,0.411,15.8,25.9,0.292,0.5,15.9,59.5,0.333,False,True,0.2525833333333333,0.0660833333333333,0.0605416666666666,1.0,1.0,1.0,2,95.8,97.76666666666667,100.66666666666667,102.66666666666667,-2.0
1983-11-04,ATL,False,90,103,30,80,0.375,0,3,0.0,30,41,0.732,25,53,13,6,3,26,25,93.7,107.3,96.0,0.513,0.038,0.459,53.5,43.3,6.2,3.5,0.375,21.0,48.1,0.375,0.494,15.6,59.6,0.209,False,True,0.2397708333333333,0.0721666666666666,0.0734375,1.0,1.0,1.0,1,95.275,100.15,98.0,102.75,-4.75
1983-11-08,KCK,True,100,97,42,83,0.506,0,0,0.0,16,23,0.696,15,43,31,5,7,25,25,99.3,96.3,100.8,0.277,0.0,0.537,51.8,73.8,5.0,8.0,0.506,21.2,38.5,0.193,0.435,16.3,63.6,0.172,True,True,0.292375,0.0623958333333333,0.0551458333333333,2.0,2.0,2.0,4,96.08,99.38,98.4,101.6,-3.1999999999999886
1983-11-11,WSB,False,124,125,48,100,0.48,1,2,0.5,27,35,0.771,20,56,29,13,4,19,34,110.8,111.7,92.6,0.35,0.02,0.537,54.9,60.4,11.6,4.3,0.485,14.1,37.0,0.27,0.495,12.7,75.0,0.326,False,True,0.3728541666666666,0.0769166666666666,0.0821041666666666,2.0,2.0,1.0,3,98.53333333333335,101.43333333333334,102.66666666666667,105.5,-2.8333333333333286
1983-11-12,BOS,False,101,116,39,82,0.476,0,2,0.0,23,35,0.657,9,31,28,9,7,20,34,98.4,113.0,102.6,0.427,0.024,0.518,38.8,71.8,8.8,8.0,0.476,17.0,25.0,0.28,0.495,15.8,50.0,0.286,True,True,0.2726666666666666,0.0534999999999999,0.0744374999999999,2.0,2.0,1.0,1,98.51428571428572,103.08571428571429,102.42857142857143,107.0,-4.571428571428569
1983-11-15,DET,True,112,110,45,89,0.506,0,0,0.0,22,29,0.759,14,45,32,11,11,16,28,108.7,106.8,103.0,0.326,0.0,0.55,50.6,71.1,10.7,12.9,0.506,13.6,31.1,0.247,0.494,16.8,70.5,0.291,True,True,0.31275,0.0449791666666666,0.0424583333333333,3.0,3.0,2.0,3,99.7875,103.55,103.625,107.375,-3.75
1983-11-17,SEA,False,110,119,47,92,0.511,0,2,0.0,16,20,0.8,10,42,33,4,8,13,25,110.3,119.4,99.7,0.217,0.022,0.546,43.3,70.2,4.0,8.5,0.511,11.4,22.7,0.174,0.458,8.3,60.4,0.337,True,True,0.30575,0.0287291666666666,0.0417291666666666,3.0,3.0,2.0,2,100.95555555555556,105.3111111111111,104.33333333333333,108.66666666666667,-4.333333333333343
1983-11-19,IND,True,110,105,44,78,0.564,0,0,0.0,22,32,0.688,11,30,28,20,5,27,26,104.9,100.2,104.8,0.41,0.0,0.597,47.6,63.6,19.1,7.6,0.564,22.7,31.4,0.282,0.521,26.6,67.9,0.457,True,False,0.3216041666666667,0.0686666666666666,0.0510208333333333,4.0,4.0,2.0,2,101.35,104.8,104.9,108.3,-3.3999999999999915
1983-11-23,UTA,True,128,117,53,96,0.552,0,0,0.0,22,28,0.786,12,42,31,7,7,15,30,119.7,109.4,107.0,0.292,0.0,0.591,42.9,58.5,6.5,7.7,0.552,12.2,26.7,0.229,0.408,12.8,56.6,0.378,False,True,0.3018125,0.0885833333333333,0.0499166666666666,5.0,4.0,3.0,4,103.01818181818182,105.21818181818183,107.0,109.0909090909091,-2.0909090909090935
1983-11-25,PHO,False,94,120,35,78,0.449,0,1,0.0,24,30,0.8,9,35,28,8,5,16,30,96.7,123.5,97.2,0.385,0.013,0.515,45.5,80.0,8.2,5.7,0.449,14.9,24.3,0.308,0.568,11.3,65.0,0.227,False,True,0.2137083333333333,0.0727291666666666,0.0653749999999999,5.0,4.0,3.0,2,102.49166666666667,106.74166666666667,105.91666666666667,110.0,-4.083333333333329
1983-11-27,LAL,False,100,103,38,90,0.422,0,2,0.0,24,26,0.923,15,41,24,8,1,15,28,103.9,107.0,96.3,0.289,0.022,0.493,51.9,63.2,8.3,1.3,0.422,12.9,35.7,0.267,0.506,16.3,70.3,0.291,False,True,0.3174583333333333,0.0790833333333333,0.0469166666666666,5.0,4.0,2.0,2,102.6,106.76153846153846,105.46153846153847,109.46153846153847,-4.0
1983-11-29,HOU,False,110,116,38,82,0.463,0,3,0.0,34,48,0.708,13,29,13,10,0,15,36,109.2,115.1,100.8,0.585,0.037,0.533,35.4,34.2,9.9,0.0,0.463,12.7,28.3,0.415,0.469,17.4,44.4,0.494,False,False,0.338375,0.0710416666666666,0.0345833333333333,5.0,4.0,2.0,2,103.07142857142857,107.35714285714286,105.78571428571429,109.92857142857143,-4.142857142857139
1983-12-02,SAS,False,94,123,38,90,0.422,0,1,0.0,18,24,0.75,16,30,28,7,8,15,22,97.6,127.7,96.3,0.267,0.011,0.467,37.5,73.7,7.3,10.1,0.422,13.0,30.8,0.2,0.586,17.4,50.0,0.346,False,False,0.2217708333333333,0.0727916666666666,0.0695833333333333,5.0,3.0,1.0,3,102.70666666666666,108.71333333333334,105.0,110.8,-5.799999999999997
1983-12-03,DAL,False,100,110,41,79,0.519,0,1,0.0,18,24,0.75,11,36,30,7,1,18,28,105.1,115.6,95.2,0.304,0.013,0.558,50.0,73.2,7.4,1.2,0.519,16.7,30.6,0.228,0.529,11.8,69.4,0.207,False,True,0.362375,0.0698749999999999,0.0209999999999999,4.0,3.0,0.0,1,102.85625,109.14375,104.6875,110.75,-6.0625
1983-12-06,BOS,False,105,118,41,91,0.451,0,0,0.0,23,28,0.821,13,42,25,7,2,9,25,107.3,120.6,97.8,0.308,0.0,0.508,46.2,61.0,7.2,2.4,0.451,8.0,25.5,0.253,0.553,11.7,72.5,0.282,True,True,0.2878333333333333,0.0548958333333333,0.0527916666666666,4.0,3.0,0.0,3,103.11764705882354,109.81764705882354,104.70588235294117,111.17647058823529,-6.470588235294116
1983-12-09,HOU,False,112,115,37,95,0.389,0,1,0.0,38,53,0.717,24,43,25,11,7,15,29,105.9,108.8,95.8,0.558,0.011,0.473,45.7,67.6,10.4,8.3,0.389,11.3,40.7,0.4,0.552,21.5,54.3,0.233,True,False,0.3238541666666666,0.0692916666666666,0.0683958333333333,4.0,2.0,0.0,3,103.27222222222223,109.76111111111112,105.11111111111111,111.38888888888889,-6.2777777777777715
1983-12-10,CLE,False,95,101,37,91,0.407,0,0,0.0,21,31,0.677,12,38,31,8,6,11,32,96.0,102.1,98.9,0.341,0.0,0.454,44.7,83.8,8.1,7.8,0.407,9.5,26.7,0.231,0.442,18.9,65.0,0.429,True,False,0.28575,0.0519791666666666,0.0437916666666666,4.0,2.0,0.0,1,102.88947368421053,109.35789473684211,104.57894736842105,110.84210526315789,-6.263157894736835
