"Date","WinsInLast15","Continuing_Players_WS","Incoming_Players_WS","Leaving_Players_WS","WinsInLast10","Tm3PAr","DRtg","OppFT_d_FGA","BLKPer","TmPF","OppeFGPer","TRBPer","ASTPer","Team_Prospect","Home"
"1983-12-15","[-2.43,-0.874]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","[-2.27,-0.962]","[-1.62,-0.93]","(0.244,0.816]","(0.114,0.786]","(-0.864,-0.352]","(0.243,0.856]","(0.811,3.79]","(0.835,3.02]","(-0.27,0.284]","[-2.43,-0.913]","False"
"1983-12-17","(-0.874,-0.253]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","[-2.27,-0.962]","[-1.62,-0.93]","[-3.53,-0.831]","(-0.371,0.114]","(0.159,0.805]","(0.856,4.53]","[-2.95,-0.859]","(0.835,3.02]","(0.857,3.38]","(-0.913,-0.262]","True"
"1983-12-22","(-0.874,-0.253]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","(-0.962,-0.0925]","[-1.62,-0.93]","(-0.249,0.244]","(0.114,0.786]","[-1.97,-0.864]","(-0.369,0.243]","(-0.859,-0.272]","(-0.834,-0.266]","(-0.806,-0.27]","(-0.913,-0.262]","False"
"1983-12-23","(-0.874,-0.253]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","(-0.962,-0.0925]","[-1.62,-0.93]","(-0.249,0.244]","(0.114,0.786]","(-0.352,0.159]","(0.243,0.856]","(-0.859,-0.272]","(0.835,3.02]","(0.857,3.38]","(-0.913,-0.262]","True"
"1983-12-27","(-0.874,-0.253]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","(-0.0925,0.342]","[-1.62,-0.93]","(-0.831,-0.249]","(0.786,5.05]","(-0.864,-0.352]","(0.856,4.53]","(-0.272,0.254]","(0.835,3.02]","(0.284,0.857]","(-0.913,-0.262]","True"
"1983-12-29","(-0.874,-0.253]","(-0.873,-0.364]","(-0.453,0.101]","(-0.783,-0.419]","(0.342,0.777]","[-1.62,-0.93]","(-0.831,-0.249]","[-2.44,-0.856]","(0.159,0.805]","(-0.369,0.243]","(0.254,0.811]","[-3.57,-0.834]","(-0.806,-0.27]","(-0.913,-0.262]","True"
"1983-12-30","(-0.874,-0.253]","(-0.873,-0.364]","(-0.857,-0.453]","(-0.783,-0.419]","(0.342,0.777]","[-1.62,-0.93]","(-0.249,0.244]","(-0.371,0.114]","(-0.864,-0.352]","(0.243,0.856]","(-0.272,0.254]","[-3.57,-0.834]","[-3.49,-0.806]","(-0.262,0.294]","False"
"1984-01-03","(-0.253,0.368]","(-0.873,-0.364]","(-0.453,0.101]","(-0.783,-0.419]","(0.777,2.08]","[-1.62,-0.93]","[-3.53,-0.831]","(-0.856,-0.371]","[-1.97,-0.864]","(-0.369,0.243]","(-0.272,0.254]","(-0.834,-0.266]","(0.857,3.38]","(-0.262,0.294]","True"
"1984-01-04","(-0.253,0.368]","(-0.873,-0.364]","(-0.453,0.101]","(-0.783,-0.419]","(0.777,2.08]","[-1.62,-0.93]","(-0.831,-0.249]","[-2.44,-0.856]","[-1.97,-0.864]","(-0.777,-0.369]","(-0.272,0.254]","(0.266,0.835]","(-0.806,-0.27]","(-0.262,0.294]","False"
"1984-01-06","(-0.253,0.368]","(-0.364,0.154]","(-0.453,0.101]","(-0.783,-0.419]","(0.342,0.777]","[-1.62,-0.93]","[-3.53,-0.831]","(-0.856,-0.371]","(0.805,4.41]","[-3.02,-0.777]","[-2.95,-0.859]","(-0.834,-0.266]","[-3.49,-0.806]","(-0.913,-0.262]","False"
