Rk,Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2004-11-05,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play
2,2004-11-06,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play,Play
3,2004-11-09,0,12:35,2,3,.667,0,0,,2,2,1.000,3,0,3,0,0,1,1,0,6,6.5,+2
4,2004-11-13,0,13:56,1,4,.250,0,0,,4,6,.667,2,3,5,3,0,0,0,3,6,6.0,-2
5,2004-11-16,0,23:02,2,5,.400,0,0,,1,2,.500,3,3,6,1,1,1,3,3,5,3.1,-7
6,2004-11-17,0,20:05,3,5,.600,0,0,,0,0,,1,2,3,0,0,0,0,4,6,3.4,-1
7,2004-11-19,0,31:31,3,8,.375,0,0,,1,2,.500,1,2,3,0,0,1,3,4,7,-0.4,-14
8,2004-11-21,0,34:08,2,3,.667,0,0,,2,2,1.000,0,8,8,3,0,0,3,1,6,5.8,-11
9,2004-11-22,0,17:28,0,3,.000,0,0,,1,2,.500,1,3,4,1,0,0,1,2,1,-1.0,-11
10,2004-11-24,1,21:40,2,3,.667,0,0,,5,5,1.000,2,2,4,0,1,0,4,5,9,4.7,-5
11,2004-11-27,1,19:25,1,4,.250,0,0,,1,2,.500,0,4,4,0,0,0,0,1,3,1.0,-20
12,2004-12-01,1,29:51,3,8,.375,0,0,,0,0,,3,4,7,1,0,1,1,1,6,4.9,+6
13,2004-12-03,1,16:40,1,4,.250,0,0,,0,0,,1,3,4,1,0,1,1,3,2,0.4,-7
14,2004-12-04,1,32:58,2,5,.400,0,0,,0,0,,1,7,8,0,0,1,2,3,4,1.6,+1
15,2004-12-06,1,29:07,2,7,.286,0,0,,1,3,.333,1,4,5,0,0,3,1,2,5,2.3,-22
16,2004-12-08,1,24:09,2,4,.500,0,0,,2,3,.667,4,2,6,0,1,1,1,2,6,6.9,+14
17,2004-12-10,1,21:43,3,5,.600,0,0,,0,0,,1,2,3,3,0,0,0,0,6,7.1,-6
18,2004-12-11,1,30:18,1,3,.333,0,0,,0,0,,1,2,3,2,0,1,3,2,2,-0.1,+7
19,2004-12-13,1,24:26,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,4,3,0.6,+11
20,2004-12-15,1,15:27,2,2,1.000,0,0,,2,2,1.000,2,4,6,0,0,0,3,2,6,4.2,-3
21,2004-12-16,1,22:13,3,4,.750,0,0,,0,0,,0,4,4,0,0,1,1,1,6,4.9,+9
22,2004-12-18,1,19:34,3,6,.500,0,0,,3,4,.750,1,4,5,1,0,0,3,3,9,4.0,+12
23,2004-12-20,1,33:12,4,8,.500,0,0,,4,4,1.000,2,10,12,2,0,1,0,1,12,14.1,+11
24,2004-12-22,1,30:53,2,7,.286,0,0,,0,0,,0,6,6,2,0,2,2,4,4,0.9,+5
25,2004-12-26,1,29:28,6,8,.750,0,0,,0,0,,1,2,3,3,0,0,0,1,12,11.8,+6
26,2004-12-28,1,24:05,1,4,.250,0,0,,1,2,.500,1,3,4,0,1,0,1,2,3,1.0,-4
27,2005-01-01,1,32:38,2,8,.250,0,0,,0,0,,3,6,9,0,2,0,1,5,4,2.1,-6
28,2005-01-03,1,34:23,0,5,.000,0,0,,3,4,.750,5,5,10,2,0,0,1,3,3,3.3,+4
29,2005-01-05,1,19:19,3,4,.750,0,0,,2,2,1.000,2,7,9,1,0,0,2,1,8,8.2,+6
30,2005-01-07,1,25:59,1,5,.200,0,0,,0,0,,3,0,3,0,0,2,1,2,2,0.6,+1
31,2005-01-08,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
32,2005-01-10,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
33,2005-01-12,1,17:35,1,5,.200,0,0,,0,0,,2,4,6,3,0,0,1,0,2,2.6,-2
34,2005-01-15,1,19:28,4,5,.800,0,0,,2,2,1.000,2,6,8,1,0,0,0,0,10,12.0,0
35,2005-01-17,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
36,2005-01-19,1,18:01,3,4,.750,0,0,,0,0,,1,5,6,3,0,0,0,0,6,8.7,+13
37,2005-01-21,1,25:15,8,10,.800,0,0,,1,3,.333,2,6,8,0,1,2,1,2,17,16.2,+15
38,2005-01-22,1,32:27,6,8,.750,0,0,,2,2,1.000,4,4,8,3,2,0,0,1,14,18.5,+27
39,2005-01-24,1,15:08,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,0,2,2,2.2,+19
40,2005-01-25,1,24:28,2,4,.500,0,0,,2,2,1.000,1,4,5,0,0,0,1,3,6,3.7,+5
41,2005-01-27,1,22:28,3,4,.750,0,0,,0,0,,2,2,4,3,0,0,0,1,6,8.1,0
42,2005-01-29,1,25:53,3,6,.500,0,0,,6,9,.667,4,10,14,1,0,0,3,1,12,10.9,0
43,2005-02-01,1,17:34,1,2,.500,0,0,,0,2,.000,1,2,3,1,1,1,1,3,2,1.7,-15
44,2005-02-16,0,15:52,0,4,.000,0,0,,0,0,,1,0,1,1,0,1,1,1,0,-2.1,0
45,2005-02-22,0,21:00,1,3,.333,0,0,,1,2,.500,0,2,2,0,0,0,0,0,3,1.5,-4
46,2005-02-23,0,12:45,1,5,.200,0,0,,0,0,,1,2,3,0,2,0,0,3,2,1.0,-8
47,2005-02-25,1,23:05,2,5,.400,0,0,,1,2,.500,6,4,10,0,1,0,2,1,5,5.9,-9
