Date,MP
2006-10-31,28:54
2006-11-01,20:30
2006-11-03,20:48
2006-11-06,27:17
2006-11-09,21:33
2006-11-11,24:25
2006-11-14,27:52
2006-11-16,21:14
2006-11-17,25:13
2006-11-19,43:59
2006-11-21,39:36
2006-11-24,33:12
2006-11-25,33:19
2006-11-28,19:18
2006-12-01,39:13
2006-12-02,30:12
2006-12-04,23:52
2006-12-06,27:29
2006-12-08,36:25
2006-12-09,29:13
2006-12-11,32:24
2006-12-13,29:18
2006-12-15,22:15
2006-12-16,39:47
2006-12-19,13:00
2006-12-22,31:06
2006-12-23,21:52
2006-12-26,35:45
2006-12-27,33:32
2006-12-29,15:47
2006-12-30,16:40
2007-01-02,35:18
2007-01-05,24:53
2007-01-06,27:23
2007-01-08,34:22
2007-01-10,33:16
2007-01-11,33:30
2007-01-15,32:38
2007-01-17,27:35
2007-01-20,22:18
2007-01-22,29:24
2007-01-23,27:09
2007-01-25,13:57
2007-01-27,33:05
2007-01-31,22:51
2007-02-02,27:19
2007-02-03,22:52
2007-02-22,14:49
2007-04-08,8:13
2007-04-10,13:22
2007-04-13,14:44
2007-04-15,14:10
2007-04-18,27:41
