Date,MP
2006-10-31,22:56
2006-11-01,31:45
2006-11-03,21:14
2006-11-06,41:09
2006-11-09,23:15
2006-11-11,21:16
2006-11-14,35:06
2006-11-16,36:48
2006-11-17,24:45
2006-11-19,33:20
2006-11-21,30:34
2006-11-24,28:46
2006-11-25,23:20
2006-11-28,34:24
2006-12-01,28:10
2006-12-02,29:00
2006-12-04,21:42
2006-12-06,33:29
2006-12-08,25:08
2006-12-09,36:17
2006-12-11,30:00
2006-12-13,32:20
2006-12-15,24:00
2006-12-16,37:05
2006-12-19,27:08
2006-12-22,29:26
2006-12-23,23:43
2006-12-26,27:43
2006-12-27,31:48
2006-12-29,34:48
2006-12-30,34:52
2007-01-02,36:58
2007-01-05,33:34
2007-01-06,32:09
2007-01-08,35:19
2007-01-10,34:44
2007-01-11,36:34
2007-01-13,26:32
2007-01-15,39:42
2007-01-17,37:24
2007-01-20,39:52
2007-01-22,37:21
2007-01-23,30:52
2007-01-25,44:19
2007-01-27,37:39
2007-01-31,33:19
2007-02-02,33:15
2007-02-03,40:03
2007-02-05,25:02
2007-02-08,27:58
2007-02-09,25:19
2007-02-11,40:45
2007-02-13,37:28
2007-02-14,35:07
2007-02-20,20:32
2007-02-22,36:08
2007-02-23,30:46
2007-02-25,25:45
2007-02-26,37:29
2007-02-28,29:33
2007-03-02,35:33
2007-03-04,47:09
2007-03-07,36:41
2007-03-08,35:03
2007-03-11,35:29
2007-03-13,39:40
2007-03-14,32:15
2007-03-17,43:30
2007-03-20,36:38
2007-03-22,40:13
2007-03-25,42:14
2007-03-26,26:34
2007-03-29,37:33
2007-03-31,47:22
2007-04-01,35:28
2007-04-04,11:45
2007-04-06,36:56
2007-04-08,40:01
2007-04-10,34:44
2007-04-13,35:16
2007-04-15,32:38
2007-04-18,44:21
