Date,MP
2006-10-31,18:23
2006-11-01,12:20
2006-11-03,18:47
2006-11-06,29:10
2006-11-09,25:56
2006-11-11,16:43
2006-11-14,18:19
2006-11-16,13:03
2006-11-17,19:34
2006-11-19,10:22
2006-11-24,5:05
2006-11-25,12:46
2006-11-28,27:20
2006-12-01,12:27
2006-12-04,14:31
2006-12-06,19:12
2006-12-08,8:12
2006-12-09,8:01
2006-12-11,24:07
2006-12-22,13:17
2006-12-23,15:20
2006-12-26,6:52
2006-12-27,9:11
2006-12-29,31:05
2006-12-30,31:33
2007-01-02,6:01
2007-01-05,3:18
2007-01-06,11:21
2007-01-11,16:07
2007-01-13,25:48
2007-01-15,27:33
2007-01-17,13:35
2007-01-20,28:48
2007-01-22,20:15
2007-01-23,37:48
2007-01-25,28:16
2007-01-27,19:55
2007-01-31,40:07
2007-02-02,30:38
2007-02-03,20:05
2007-02-05,30:48
2007-02-08,19:24
2007-02-09,33:16
2007-02-13,11:16
2007-02-14,19:55
2007-02-20,21:38
2007-02-22,12:12
2007-02-23,18:38
2007-02-25,34:57
2007-02-26,14:08
2007-02-28,7:04
2007-03-04,16:24
2007-03-07,15:18
2007-03-08,15:19
2007-03-11,20:58
2007-03-13,24:31
2007-03-14,23:20
2007-03-17,21:03
2007-03-20,31:42
2007-03-22,35:16
2007-03-25,16:26
2007-03-26,20:55
2007-03-29,20:14
2007-03-31,8:17
2007-04-01,23:20
2007-04-04,38:25
2007-04-06,25:45
2007-04-08,25:05
2007-04-10,22:54
2007-04-13,21:49
2007-04-15,27:41
2007-04-18,26:42
