Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2010-10-30,0,18:46,2,5,.400,1,3,.333,3,4,.750,2,7,9,4,2,3,1,3,8,13.1,+24
2010-11-01,0,10:57,1,2,.500,0,0,,0,2,.000,0,1,1,0,0,0,2,5,2,-3.5,+5
2010-11-04,0,8:16,1,5,.200,0,2,.000,0,0,,1,2,3,0,0,0,0,2,2,-0.6,-19
2010-11-05,0,5:38,0,4,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0,-3.3,-11
2010-11-11,0,3:31,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+4
2010-11-24,0,22:46,5,6,.833,1,2,.500,1,3,.333,2,3,5,3,2,2,3,6,12,11.4,+10
2010-11-26,0,17:50,2,5,.400,0,1,.000,0,0,,0,1,1,0,2,2,3,2,4,1.2,0
2010-12-01,0,14:51,3,5,.600,0,1,.000,0,0,,1,1,2,2,0,2,4,2,6,2.7,-6
2010-12-03,0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
2010-12-11,0,3:20,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,1,0,2,1.7,+2
2010-12-21,0,11:28,2,4,.500,0,0,,2,4,.500,0,0,0,2,2,0,3,2,6,2.8,+10
2011-01-04,0,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2011-02-15,0,0:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
