Date,MP
2011-12-25,19:33
2011-12-26,9:59
2011-12-29,23:35
2011-12-30,9:50
2012-01-01,24:08
2012-01-03,28:18
2012-01-04,11:08
2012-01-06,8:37
2012-01-07,20:23
2012-01-09,21:53
2012-01-10,18:16
2012-01-11,27:48
2012-01-13,9:19
2012-01-14,14:22
2012-01-16,18:00
2012-01-17,12:44
2012-01-20,14:01
2012-01-21,38:36
2012-01-23,10:10
2012-01-25,12:35
2012-01-27,5:40
2012-01-29,6:14
2012-01-30,8:42
2012-02-01,12:45
2012-02-02,15:02
2012-02-04,12:31
2012-02-06,14:56
2012-02-08,17:25
2012-02-10,16:24
2012-02-12,9:42
2012-02-14,11:38
2012-02-16,7:49
2012-02-18,12:41
2012-02-20,0:28
2012-02-22,18:11
2012-02-28,8:58
2012-02-29,15:38
2012-03-02,21:48
2012-03-04,9:34
2012-03-05,14:14
2012-03-07,10:10
2012-03-08,8:45
2012-03-10,33:21
2012-03-12,7:57
2012-03-14,11:19
2012-03-16,9:13
2012-03-17,15:36
2012-03-19,16:43
2012-03-21,18:25
2012-03-24,17:53
2012-03-26,18:32
2012-03-28,15:14
2012-03-30,15:58
2012-04-01,16:20
2012-04-02,13:06
2012-04-05,13:45
2012-04-08,8:59
2012-04-10,9:11
2012-04-12,22:34
2012-04-15,11:19
2012-04-16,13:37
2012-04-18,21:14
2012-04-19,14:22
2012-04-21,3:26
2012-04-25,13:49
2012-04-26,17:04
