Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2012-01-01,0,5:36,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,-4
2012-01-03,0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-01-04,0,0:51,0,0,,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,2,3.0,0
2012-01-07,0,12:00,3,3,1.000,0,0,,6,6,1.000,2,1,3,0,0,0,0,0,12,12.8,+8
2012-01-09,0,2:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
2012-01-11,0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-01-16,0,3:18,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,+3
2012-01-17,0,4:02,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-1
2012-01-20,0,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,2,1,1,0,0.3,+2
2012-01-25,0,6:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,-5
2012-01-27,0,9:23,0,2,.000,0,0,,2,2,1.000,1,0,1,0,1,0,0,2,2,1.5,-2
2012-01-30,0,12:54,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,1,0,2,1.3,-9
2012-02-01,0,19:21,1,3,.333,1,2,.500,2,4,.500,2,2,4,2,0,0,1,1,5,4.5,+2
2012-02-02,0,20:43,2,5,.400,0,0,,3,4,.750,1,0,1,1,2,1,0,4,7,6.4,-1
2012-02-04,0,9:26,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,0,0,2,4.3,+8
2012-02-06,0,2:52,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-2
2012-02-08,0,7:54,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
2012-02-10,0,17:33,0,2,.000,0,0,,4,4,1.000,0,2,2,0,2,0,1,1,4,3.8,+4
2012-02-18,0,5:06,1,2,.500,0,0,,1,2,.500,2,0,2,0,0,0,0,0,3,3.0,+2
2012-02-22,0,3:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
2012-03-02,0,4:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
2012-03-05,0,0:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+2
2012-03-08,0,8:43,1,2,.500,0,1,.000,3,4,.750,1,2,3,2,0,0,1,2,5,4.5,+4
2012-03-10,0,27:45,2,4,.500,0,0,,4,6,.667,3,2,5,1,0,0,1,1,8,7.2,+11
2012-03-12,0,28:56,3,7,.429,0,2,.000,2,3,.667,2,0,2,1,1,0,0,0,8,7.0,-1
2012-03-14,0,12:13,1,5,.200,0,1,.000,6,6,1.000,0,2,2,0,0,0,0,0,8,5.5,+10
2012-03-16,0,14:35,1,2,.500,1,1,1.000,0,0,,1,1,2,0,0,1,2,1,3,1.3,-7
2012-03-17,0,6:28,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+1
2012-03-19,0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-03-24,0,8:22,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,+2
2012-03-26,0,8:16,2,5,.400,0,1,.000,0,0,,0,0,0,2,0,0,0,0,4,2.7,+1
2012-03-28,0,1:18,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+2
2012-04-01,0,12:00,0,3,.000,0,0,,2,2,1.000,2,3,5,0,0,0,1,1,2,0.8,+15
2012-04-02,0,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-04-05,0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-04-08,0,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2012-04-10,0,12:11,1,4,.250,0,1,.000,0,0,,0,1,1,1,1,0,0,1,2,1.2,+8
2012-04-12,0,1:18,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
2012-04-15,0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
2012-04-16,0,4:54,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-7
2012-04-18,0,24:00,2,6,.333,0,0,,1,2,.500,1,2,3,0,0,0,1,1,5,1.1,+15
2012-04-26,0,28:35,4,8,.500,0,1,.000,4,7,.571,2,2,4,2,0,0,2,1,12,7.8,+31
