Date,MP
2012-10-31,40:01
2012-11-02,31:45
2012-11-03,43:19
2012-11-06,40:44
2012-11-08,39:08
2012-11-10,38:12
2012-11-12,41:52
2012-11-14,42:29
2012-11-17,30:00
2012-11-18,40:58
2012-11-21,40:04
2012-11-24,41:39
2012-11-26,38:36
2012-11-28,34:30
2012-12-01,41:27
2012-12-04,39:28
2012-12-05,44:18
2012-12-07,43:26
2012-12-08,44:19
2012-12-11,42:30
2012-12-12,44:21
2012-12-15,42:03
2012-12-17,41:50
2012-12-18,36:37
2012-12-21,40:55
2012-12-22,33:48
2012-12-25,31:52
2012-12-29,36:57
2012-12-31,30:20
2013-01-04,36:31
2013-01-07,32:20
2013-01-09,39:10
2013-01-11,29:07
2013-01-12,30:55
2013-01-14,27:34
2013-01-16,47:40
2013-01-18,45:29
2013-01-19,26:40
2013-01-21,35:10
2013-01-23,45:07
2013-01-25,39:08
2013-01-26,43:13
2013-01-28,44:52
2013-01-30,39:58
2013-02-07,23:01
2013-02-08,33:49
2013-02-11,38:13
2013-02-13,43:27
2013-02-19,38:17
2013-02-21,38:06
2013-02-22,38:57
2013-02-24,32:34
2013-02-26,41:09
2013-02-28,45:00
2013-03-02,41:13
2013-03-03,32:27
2013-03-06,33:56
2013-03-08,32:11
2013-03-10,39:26
2013-03-13,29:22
2013-03-15,32:22
2013-03-18,35:27
2013-03-21,26:48
2013-04-07,21:25
2013-04-15,14:21
2013-04-17,14:21
