Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2012-11-02,0,2:35,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,+2
2012-11-03,0,0:27,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+1
2012-11-08,0,0:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
2012-11-17,0,9:44,1,3,.333,0,2,.000,0,0,,2,0,2,0,0,0,1,3,2,-0.5,-1
2012-11-28,0,2:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1
2012-12-21,0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
2012-12-22,0,6:19,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,1,1,3,1.9,+6
2012-12-25,0,3:30,0,1,.000,0,1,.000,0,0,,0,1,1,0,2,0,0,0,0,1.6,0
2013-01-07,0,2:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
2013-01-12,0,1:27,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,-1
2013-01-14,0,3:45,0,2,.000,0,1,.000,0,0,,2,0,2,1,0,0,0,0,0,0.7,+4
2013-01-19,0,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2013-01-25,0,1:23,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-4
2013-02-02,0,5:02,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-2.6,-7
2013-02-07,0,12:51,2,5,.400,1,4,.250,0,0,,2,1,3,2,0,0,0,1,5,5.0,-5
2013-02-21,0,2:12,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,0
2013-02-22,0,2:31,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+2
2013-02-24,0,9:25,1,3,.333,1,1,1.000,0,0,,1,2,3,0,0,1,1,2,3,1.5,-2
2013-03-03,0,10:52,1,3,.333,0,2,.000,0,0,,0,3,3,1,0,2,1,4,2,0.7,-1
2013-03-13,0,15:28,0,3,.000,0,3,.000,0,0,,1,1,2,0,0,0,2,4,0,-4.7,-18
2013-03-23,0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2013-04-04,0,11:19,1,4,.250,0,2,.000,0,1,.000,0,1,1,0,0,0,0,3,2,-1.7,-4
2013-04-05,0,23:07,3,3,1.000,1,1,1.000,0,0,,1,3,4,2,2,1,0,3,7,10.6,+8
2013-04-07,0,15:17,1,5,.200,0,3,.000,2,2,1.000,1,2,3,0,0,0,0,1,4,1.8,-12
2013-04-09,0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
