Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2013-12-13,11:47,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,2,0,-0.9,-12
2013-12-14,19:45,1,7,.143,1,5,.200,2,2,1.000,0,0,0,6,0,0,0,2,5,3.9,-12
2013-12-16,37:07,5,15,.333,2,7,.286,2,2,1.000,0,2,2,8,1,0,2,5,14,8.7,+6
2013-12-18,30:57,2,6,.333,2,4,.500,2,2,1.000,0,2,2,9,2,0,1,3,8,11.3,-20
2013-12-19,35:59,5,10,.500,3,7,.429,2,2,1.000,0,0,0,5,1,0,5,4,15,7.9,-16
2013-12-21,46:24,7,12,.583,4,6,.667,0,1,.000,1,4,5,10,2,0,5,1,18,17.5,+18
2013-12-25,32:33,4,7,.571,2,4,.500,3,4,.750,1,1,2,5,2,0,3,3,13,11.6,+15
2013-12-28,31:23,5,8,.625,1,1,1.000,0,0,,0,2,2,3,3,0,3,3,11,8.9,-18
2013-12-30,28:37,2,8,.250,2,7,.286,4,4,1.000,0,1,1,9,4,0,4,3,10,10.6,-8
2013-12-31,20:03,3,4,.750,0,0,,0,0,,0,1,1,3,0,0,0,2,6,6.0,-1
2014-01-02,25:36,1,6,.167,0,3,.000,6,6,1.000,0,3,3,4,0,0,4,2,8,3.1,+6
2014-01-04,28:30,4,13,.308,1,6,.167,2,2,1.000,2,2,4,7,0,1,2,4,11,7.5,+6
2014-01-07,28:52,4,9,.444,2,4,.500,3,4,.750,0,2,2,9,1,0,1,4,13,13.2,+17
2014-01-10,23:35,2,8,.250,2,6,.333,0,0,,0,1,1,1,1,0,1,1,6,1.8,+1
2014-01-11,35:08,6,13,.462,1,3,.333,7,7,1.000,0,2,2,12,1,1,3,2,20,20.2,-4
2014-01-13,25:47,2,11,.182,1,5,.200,2,2,1.000,1,0,1,7,2,0,3,4,7,3.1,-11
2014-01-15,40:01,7,18,.389,3,8,.375,2,2,1.000,1,4,5,9,0,0,0,2,19,16.6,+8
2014-01-17,19:31,5,10,.500,4,6,.667,2,2,1.000,0,1,1,2,1,0,0,1,16,13.3,-6
