Date,MP
2014-10-29,15:17
2014-10-31,4:11
2014-11-01,28:16
2014-11-04,22:39
2014-11-05,16:15
2014-11-07,7:55
2014-11-08,5:00
2014-11-10,5:13
2014-11-13,4:15
2014-11-15,5:23
2014-11-17,18:25
2014-11-20,18:11
2014-11-21,35:07
2014-11-24,28:16
2014-11-25,20:49
2014-11-28,26:42
2014-11-30,27:24
2014-12-02,25:32
2014-12-03,28:03
2014-12-06,7:57
2014-12-10,20:37
2014-12-12,18:34
2014-12-14,20:14
2014-12-15,17:33
2014-12-18,26:53
2014-12-19,30:02
2014-12-22,18:20
2014-12-23,14:00
2014-12-25,14:53
2014-12-27,17:04
2014-12-29,10:47
2014-12-30,16:30
2015-01-01,10:48
2015-01-03,37:43
2015-01-05,27:06
2015-01-07,22:47
2015-01-09,14:16
2015-01-10,13:01
2015-01-12,11:06
2015-01-14,17:20
2015-01-16,25:41
2015-01-17,15:03
2015-01-19,15:26
2015-01-22,15:26
2015-01-23,2:01
2015-01-25,11:51
2015-01-27,30:39
2015-01-29,12:18
2015-01-30,7:35
2015-02-04,12:16
2015-02-07,12:42
2015-02-08,3:08
2015-02-10,12:01
2015-02-12,18:34
2015-02-20,9:08
2015-02-21,13:41
2015-02-23,31:05
2015-02-25,11:49
2015-02-27,18:49
2015-03-01,30:40
2015-03-03,31:43
2015-03-05,33:45
2015-03-06,30:55
2015-03-08,27:41
2015-03-09,28:51
2015-03-11,42:32
2015-03-13,34:55
2015-03-15,29:41
2015-03-18,30:41
2015-03-20,31:33
2015-03-21,23:53
2015-03-23,31:33
2015-03-25,27:55
2015-03-28,25:42
2015-04-01,22:52
2015-04-03,20:07
2015-04-05,24:07
2015-04-08,27:08
2015-04-09,16:58
2015-04-11,14:56
2015-04-13,24:25
2015-04-15,31:56
