Date,MP
2015-10-27,22:06
2015-10-28,18:23
2015-10-30,19:34
2015-11-01,19:33
2015-11-03,16:06
2015-11-05,22:07
2015-11-07,24:42
2015-11-09,22:57
2015-11-13,23:03
2015-11-16,31:27
2015-11-18,26:59
2015-11-20,16:10
2015-11-24,17:29
2015-11-27,18:51
2015-11-30,19:12
2015-12-02,19:33
2015-12-05,20:54
2015-12-07,21:45
2015-12-09,19:48
2015-12-10,28:36
2015-12-12,17:10
2015-12-14,22:23
2015-12-16,18:34
2015-12-18,44:06
2015-12-19,19:59
2015-12-21,32:49
2015-12-25,34:20
2015-12-26,32:43
2015-12-28,37:51
2015-12-30,37:24
2016-01-01,25:17
2016-01-03,29:05
2016-01-05,37:56
2016-01-07,27:38
2016-01-09,26:07
2016-01-11,18:35
2016-01-12,26:26
2016-01-14,35:26
2016-01-15,29:52
2016-01-18,35:49
2016-01-20,20:04
2016-01-22,22:36
2016-01-23,28:47
2016-01-25,29:56
2016-01-28,36:06
2016-01-31,29:35
2016-02-01,44:49
2016-02-03,33:59
2016-02-05,35:59
2016-02-06,31:49
2016-02-08,22:19
2016-02-10,22:26
2016-02-18,31:49
2016-02-19,24:20
2016-02-21,28:59
2016-02-24,29:50
2016-02-26,31:29
2016-02-27,20:07
2016-03-01,23:03
2016-03-02,Did
2016-03-05,37:48
2016-03-07,36:45
2016-03-10,21:55
2016-03-11,24:53
2016-03-14,34:47
2016-03-16,7:23
2016-03-17,27:08
2016-03-19,31:15
2016-03-21,33:04
2016-03-23,20:20
2016-03-24,25:56
2016-03-26,25:57
2016-03-28,31:19
2016-03-29,10:19
2016-03-31,Did
2016-04-02,Did
2016-04-03,Did
2016-04-05,Did
2016-04-07,Did
2016-04-09,Did
2016-04-11,Did
2016-04-13,Did
