Date,Opp
1994-11-04,CHH
1994-11-05,WSB
1994-11-07,PHI
1994-11-09,NJN
1994-11-11,MIN
1994-11-12,DAL
1994-11-16,SAS
1994-11-17,HOU
1994-11-19,DAL
1994-11-22,LAC
1994-11-23,DEN
1994-11-25,UTA
1994-11-30,PHO
1994-12-02,ATL
1994-12-03,BOS
1994-12-05,NJN
1994-12-09,DET
1994-12-10,MIL
1994-12-13,DET
1994-12-16,ATL
1994-12-17,UTA
1994-12-19,CLE
1994-12-21,IND
1994-12-23,IND
1994-12-25,NYK
1994-12-27,LAC
1994-12-28,BOS
1994-12-30,MIA
1995-01-04,DEN
1995-01-06,SEA
1995-01-07,CLE
1995-01-10,ORL
1995-01-11,PHI
1995-01-13,SAC
1995-01-14,CHH
1995-01-16,WSB
1995-01-18,MIL
1995-01-20,MIN
1995-01-22,HOU
1995-01-24,SAS
1995-01-26,ORL
1995-01-29,GSW
1995-01-31,LAL
1995-02-02,SAC
1995-02-03,PHO
1995-02-05,GSW
1995-02-08,POR
1995-02-09,SEA
1995-02-15,WSB
1995-02-17,DET
1995-02-18,MIL
1995-02-20,CHH
1995-02-21,ATL
1995-02-24,MIA
1995-02-26,ORL
1995-02-27,NJN
1995-03-01,MIA
1995-03-02,NYK
1995-03-04,PHI
1995-03-06,POR
1995-03-10,CLE
1995-03-11,LAL
1995-03-14,WSB
1995-03-15,ATL
1995-03-17,MIL
1995-03-19,IND
1995-03-22,BOS
1995-03-24,ORL
1995-03-25,ATL
1995-03-28,NYK
1995-03-30,BOS
1995-04-01,PHI
1995-04-05,NJN
1995-04-07,CLE
1995-04-09,CLE
1995-04-11,IND
1995-04-12,DET
1995-04-16,NYK
1995-04-17,MIA
1995-04-20,DET
1995-04-22,CHH
1995-04-23,MIL
