[[1]]
          DRtg        ORtg Continuing_Players_WS48     OppeFGPer   OppTOVPer
1   (96.8,103]  (97.1,104]           (0.318,0.436] (0.434,0.472] (12.4,14.3]
2    (103,109] [52.5,97.1]         [-0.0371,0.202] (0.506,0.542] (10.3,12.4]
3    (116,146]   (117,147]           (0.436,0.601] (0.542,0.735] (10.3,12.4]
4    (116,146] [52.5,97.1]           (0.318,0.436] (0.542,0.735] (14.3,16.5]
5    (116,146]   (110,117]           (0.202,0.318] (0.542,0.735] (10.3,12.4]
6    (109,116]   (110,117]           (0.436,0.601] (0.472,0.506] (10.3,12.4]
7   (96.8,103] [52.5,97.1]           (0.202,0.318] (0.472,0.506] (12.4,14.3]
8    (116,146] [52.5,97.1]         [-0.0371,0.202] (0.472,0.506] (10.3,12.4]
9    (109,116] [52.5,97.1]           (0.436,0.601] (0.434,0.472] (12.4,14.3]
10   (103,109] [52.5,97.1]         [-0.0371,0.202] (0.472,0.506]  [3.7,10.3]
11 [66.1,96.8]   (117,147]            (0.601,1.16] (0.472,0.506] (16.5,26.4]
12   (103,109]   (110,117]           (0.436,0.601] (0.472,0.506] (16.5,26.4]
13  (96.8,103]   (104,110]           (0.202,0.318] [0.299,0.434]  [3.7,10.3]
14  (96.8,103]  (97.1,104]           (0.436,0.601] (0.434,0.472] (12.4,14.3]
15   (109,116]   (117,147]           (0.436,0.601] (0.472,0.506] (16.5,26.4]
16   (103,109]   (110,117]           (0.202,0.318] (0.434,0.472] (12.4,14.3]
17 [66.1,96.8]   (110,117]           (0.436,0.601] (0.434,0.472] (10.3,12.4]
18  (96.8,103]   (104,110]         [-0.0371,0.202] [0.299,0.434]  [3.7,10.3]
19  (96.8,103]   (104,110]         [-0.0371,0.202] (0.472,0.506] (12.4,14.3]
20   (103,109]  (97.1,104]         [-0.0371,0.202] [0.299,0.434] (10.3,12.4]
21   (116,146]   (104,110]           (0.318,0.436] (0.542,0.735] (16.5,26.4]
22   (109,116]   (117,147]           (0.436,0.601] [0.299,0.434]  [3.7,10.3]
23   (109,116]  (97.1,104]           (0.202,0.318] (0.506,0.542] (10.3,12.4]
24   (103,109] [52.5,97.1]           (0.436,0.601] (0.434,0.472] (10.3,12.4]
25  (96.8,103] [52.5,97.1]           (0.318,0.436] (0.434,0.472] (14.3,16.5]
26   (116,146]   (104,110]           (0.202,0.318] (0.434,0.472]  [3.7,10.3]
27 [66.1,96.8]   (117,147]           (0.318,0.436] (0.434,0.472] (10.3,12.4]
28   (103,109]  (97.1,104]           (0.202,0.318] [0.299,0.434]  [3.7,10.3]
29   (103,109] [52.5,97.1]         [-0.0371,0.202] (0.542,0.735] (16.5,26.4]
30   (109,116]   (117,147]           (0.436,0.601] [0.299,0.434]  [3.7,10.3]
31  (96.8,103] [52.5,97.1]           (0.318,0.436] (0.542,0.735] (16.5,26.4]
32   (116,146]   (110,117]            (0.601,1.16] (0.472,0.506] (12.4,14.3]
33  (96.8,103] [52.5,97.1]           (0.436,0.601] (0.434,0.472] (12.4,14.3]
34   (109,116]   (117,147]           (0.436,0.601] (0.472,0.506] (12.4,14.3]
35 [66.1,96.8]  (97.1,104]           (0.436,0.601] [0.299,0.434]  [3.7,10.3]
36 [66.1,96.8]   (117,147]            (0.601,1.16] [0.299,0.434] (10.3,12.4]
37   (116,146]   (104,110]         [-0.0371,0.202] (0.472,0.506]  [3.7,10.3]
38   (103,109]   (110,117]           (0.436,0.601] (0.434,0.472] (10.3,12.4]
39   (116,146]  (97.1,104]           (0.202,0.318] (0.506,0.542] (12.4,14.3]
40   (116,146]   (104,110]           (0.202,0.318] (0.434,0.472]  [3.7,10.3]
41   (109,116]   (110,117]           (0.202,0.318] (0.542,0.735] (16.5,26.4]
42   (116,146]   (117,147]            (0.601,1.16] (0.472,0.506]  [3.7,10.3]
43   (109,116]  (97.1,104]           (0.436,0.601] (0.506,0.542] (10.3,12.4]
44  (96.8,103]   (104,110]           (0.318,0.436] (0.472,0.506] (14.3,16.5]
45   (109,116]   (110,117]           (0.318,0.436] (0.472,0.506] (12.4,14.3]
46  (96.8,103] [52.5,97.1]           (0.318,0.436] (0.434,0.472] (10.3,12.4]
47   (103,109]  (97.1,104]           (0.436,0.601] (0.434,0.472] (14.3,16.5]
48  (96.8,103]   (104,110]           (0.202,0.318] (0.434,0.472] (10.3,12.4]
49   (103,109]   (110,117]           (0.202,0.318] [0.299,0.434] (10.3,12.4]
50   (116,146] [52.5,97.1]           (0.318,0.436] (0.542,0.735] (12.4,14.3]
51  (96.8,103]   (104,110]           (0.318,0.436] [0.299,0.434] (14.3,16.5]
52 [66.1,96.8] [52.5,97.1]         [-0.0371,0.202] [0.299,0.434]  [3.7,10.3]
53 [66.1,96.8]   (104,110]           (0.436,0.601] [0.299,0.434] (12.4,14.3]
54  (96.8,103]  (97.1,104]           (0.436,0.601] (0.434,0.472] (10.3,12.4]
55   (116,146]  (97.1,104]           (0.202,0.318] (0.542,0.735] (16.5,26.4]
56  (96.8,103] [52.5,97.1]           (0.202,0.318] (0.434,0.472] (14.3,16.5]
57   (109,116]   (104,110]         [-0.0371,0.202] (0.506,0.542] (14.3,16.5]
58  (96.8,103]   (117,147]           (0.436,0.601] (0.434,0.472] (12.4,14.3]
59   (116,146]   (117,147]           (0.202,0.318] (0.542,0.735] (10.3,12.4]
60   (109,116]   (104,110]           (0.318,0.436] (0.434,0.472] (14.3,16.5]
61   (109,116]   (117,147]           (0.436,0.601] (0.542,0.735] (14.3,16.5]
62   (116,146]   (104,110]           (0.436,0.601] (0.542,0.735] (10.3,12.4]
63   (109,116]   (110,117]           (0.202,0.318] (0.506,0.542] (12.4,14.3]
64   (116,146]  (97.1,104]         [-0.0371,0.202] (0.542,0.735] (12.4,14.3]
65   (109,116]  (97.1,104]           (0.318,0.436] (0.506,0.542] (12.4,14.3]
66   (103,109]   (117,147]           (0.436,0.601] (0.472,0.506] (16.5,26.4]
