[[1]]
   WinsInLast15 Continuing_Players_WS Incoming_Players_WS Leaving_Players_WS WinsInLast10
1         (5,7]         (0.436,0.601]      (0.0874,0.142]    (0.0326,0.0755]        (3,5]
2        (9,11]         (0.436,0.601]     (0.0478,0.0874]     (0.0755,0.123]       (7,10]
3         (5,7]         (0.202,0.318]       (0.142,0.206]     (0.0755,0.123]        (3,5]
4         [0,5]         (0.202,0.318]     (0.0478,0.0874]    (0.0326,0.0755]        [0,3]
5         (7,9]         (0.436,0.601]     (0.0478,0.0874]    (0.0326,0.0755]        (3,5]
6         [0,5]       [-0.0371,0.202]       (0.142,0.206]      (0.202,0.747]        [0,3]
7        (9,11]         (0.318,0.436]       (0.142,0.206]    [-0.097,0.0326]       (7,10]
8         (7,9]         (0.436,0.601]    [-0.0583,0.0478]     (0.0755,0.123]        (5,6]
9         (5,7]         (0.436,0.601]      (0.0874,0.142]     (0.0755,0.123]        [0,3]
10        [0,5]         (0.202,0.318]     (0.0478,0.0874]    (0.0326,0.0755]        [0,3]
11        (7,9]         (0.436,0.601]    [-0.0583,0.0478]    [-0.097,0.0326]        (5,6]
12        (5,7]         (0.202,0.318]       (0.142,0.206]     (0.0755,0.123]        (3,5]
13       (9,11]         (0.436,0.601]       (0.142,0.206]    (0.0326,0.0755]        (6,7]
14       (9,11]         (0.436,0.601]     (0.0478,0.0874]    [-0.097,0.0326]       (7,10]
15       (9,11]          (0.601,1.16]     (0.0478,0.0874]    [-0.097,0.0326]        (3,5]
16        (7,9]          (0.601,1.16]    [-0.0583,0.0478]    (0.0326,0.0755]        (3,5]
17        (7,9]         (0.318,0.436]       (0.142,0.206]     (0.0755,0.123]        (6,7]
18        [0,5]         (0.202,0.318]       (0.142,0.206]     (0.0755,0.123]        (3,5]
19       (9,11]         (0.436,0.601]     (0.0478,0.0874]     (0.0755,0.123]       (7,10]
20       (9,11]         (0.436,0.601]     (0.0478,0.0874]     (0.0755,0.123]        (5,6]
21       (9,11]         (0.436,0.601]       (0.142,0.206]     (0.0755,0.123]        (6,7]
22        (5,7]       [-0.0371,0.202]       (0.206,0.546]     (0.0755,0.123]        (3,5]
23        (5,7]         (0.202,0.318]       (0.206,0.546]      (0.123,0.202]        (5,6]
24        [0,5]       [-0.0371,0.202]       (0.206,0.546]      (0.123,0.202]        [0,3]
25        (7,9]         (0.436,0.601]      (0.0874,0.142]      (0.123,0.202]        (5,6]
26        (7,9]          (0.601,1.16]     (0.0478,0.0874]    [-0.097,0.0326]        (6,7]
27        (7,9]         (0.202,0.318]      (0.0874,0.142]    (0.0326,0.0755]        (5,6]
28        [0,5]         (0.202,0.318]       (0.206,0.546]     (0.0755,0.123]        [0,3]
29        [0,5]         (0.202,0.318]       (0.142,0.206]      (0.202,0.747]        [0,3]
30        (5,7]          (0.601,1.16]    [-0.0583,0.0478]    [-0.097,0.0326]        (3,5]
31        (5,7]       [-0.0371,0.202]       (0.206,0.546]      (0.123,0.202]        (3,5]
32        (7,9]         (0.202,0.318]       (0.206,0.546]      (0.123,0.202]        (3,5]
33        (5,7]         (0.436,0.601]      (0.0874,0.142]      (0.123,0.202]        (3,5]
34        [0,5]         (0.318,0.436]     (0.0478,0.0874]    (0.0326,0.0755]        [0,3]
35        (7,9]         (0.436,0.601]      (0.0874,0.142]    (0.0326,0.0755]        (5,6]
36        (5,7]         (0.318,0.436]      (0.0874,0.142]    (0.0326,0.0755]        [0,3]
37        (5,7]         (0.202,0.318]       (0.206,0.546]     (0.0755,0.123]        (3,5]
38       (9,11]         (0.436,0.601]    [-0.0583,0.0478]    (0.0326,0.0755]       (7,10]
39        [0,5]         (0.202,0.318]       (0.142,0.206]      (0.202,0.747]        (3,5]
40       (9,11]         (0.436,0.601]     (0.0478,0.0874]     (0.0755,0.123]       (7,10]
41        (5,7]         (0.436,0.601]     (0.0478,0.0874]      (0.123,0.202]        (6,7]
42        [0,5]         (0.202,0.318]       (0.142,0.206]      (0.202,0.747]        [0,3]
43        (5,7]       [-0.0371,0.202]       (0.206,0.546]      (0.202,0.747]        (3,5]
44        (5,7]         (0.202,0.318]       (0.206,0.546]     (0.0755,0.123]        (5,6]
45       (9,11]          (0.601,1.16]    [-0.0583,0.0478]    [-0.097,0.0326]       (7,10]
46       (9,11]         (0.436,0.601]      (0.0874,0.142]     (0.0755,0.123]        (6,7]
47       (9,11]          (0.601,1.16]    [-0.0583,0.0478]    [-0.097,0.0326]       (7,10]
48        [0,5]         (0.202,0.318]       (0.142,0.206]      (0.202,0.747]        [0,3]
49        [0,5]         (0.202,0.318]       (0.142,0.206]      (0.202,0.747]        [0,3]
50        (5,7]         (0.202,0.318]       (0.142,0.206]      (0.123,0.202]        (3,5]
51       (9,11]         (0.436,0.601]     (0.0478,0.0874]     (0.0755,0.123]        (3,5]
52        (5,7]         (0.318,0.436]      (0.0874,0.142]     (0.0755,0.123]        (3,5]
53        (5,7]          (0.601,1.16]     (0.0478,0.0874]    (0.0326,0.0755]        [0,3]
54        (5,7]         (0.202,0.318]       (0.142,0.206]      (0.123,0.202]        [0,3]
55        (5,7]         (0.318,0.436]       (0.206,0.546]     (0.0755,0.123]        [0,3]
56        (5,7]         (0.318,0.436]      (0.0874,0.142]      (0.123,0.202]        [0,3]
57        (5,7]         (0.318,0.436]    [-0.0583,0.0478]    (0.0326,0.0755]        [0,3]
58        (7,9]         (0.202,0.318]       (0.206,0.546]      (0.123,0.202]        (6,7]
59        [0,5]         (0.202,0.318]       (0.206,0.546]     (0.0755,0.123]        [0,3]
60        (7,9]         (0.436,0.601]    [-0.0583,0.0478]    (0.0326,0.0755]        (6,7]
61        [0,5]       [-0.0371,0.202]       (0.142,0.206]      (0.202,0.747]        (3,5]
62       (9,11]         (0.436,0.601]     (0.0478,0.0874]    (0.0326,0.0755]        (5,6]
63        (7,9]         (0.202,0.318]      (0.0874,0.142]    (0.0326,0.0755]       (7,10]
64        [0,5]       [-0.0371,0.202]       (0.206,0.546]      (0.123,0.202]        (3,5]
65        (7,9]         (0.318,0.436]      (0.0874,0.142]     (0.0755,0.123]        (3,5]
66        (5,7]         (0.202,0.318]      (0.0874,0.142]    (0.0326,0.0755]        (3,5]
          Tm3PAr        DRtg   OppFT_d_FGA      BLKPer    TmPF     OppeFGPer      TRBPer
1      [0,0.072]   (116,146] (0.244,0.305]     (4.1,6] (23,26] (0.542,0.735] (46.3,49.4]
2  (0.072,0.138]  (96.8,103]   (0.2,0.244]     [0,4.1] (20,23] (0.506,0.542] (46.3,49.4]
3      [0,0.072]   (116,146] (0.244,0.305]     (6,7.9] (23,26] (0.542,0.735] (49.4,52.3]
4      [0,0.072]   (109,116] (0.244,0.305]     (4.1,6] (23,26] (0.542,0.735] (55.4,67.3]
5  (0.072,0.138]   (109,116] (0.305,0.692]     [0,4.1] (23,26] (0.472,0.506] [31.4,46.3]
6      [0,0.072]   (109,116] (0.244,0.305]     (4.1,6] (26,44] (0.472,0.506] [31.4,46.3]
7      [0,0.072]   (103,109] (0.244,0.305]     (4.1,6] (20,23] (0.434,0.472] (49.4,52.3]
8      [0,0.072]   (103,109] (0.305,0.692]     (4.1,6] (20,23] [0.299,0.434] (52.3,55.4]
9      [0,0.072]   (116,146] (0.305,0.692]     (6,7.9] (26,44] (0.506,0.542] (46.3,49.4]
10     [0,0.072] [66.1,96.8] (0.244,0.305]     (4.1,6] (23,26] (0.434,0.472] [31.4,46.3]
11 (0.072,0.138]   (116,146] (0.244,0.305]     (4.1,6] (23,26] (0.542,0.735] [31.4,46.3]
12     [0,0.072]   (103,109] (0.244,0.305] (10.3,23.7] (26,44] [0.299,0.434] (52.3,55.4]
13     [0,0.072]   (109,116]   (0.2,0.244]     (6,7.9] (26,44] (0.434,0.472] (46.3,49.4]
14 (0.072,0.138]   (103,109] (0.305,0.692]  (7.9,10.3] (26,44] (0.472,0.506] (49.4,52.3]
15 (0.072,0.138]   (116,146] (0.305,0.692]     (6,7.9] (23,26] (0.542,0.735] [31.4,46.3]
16 (0.072,0.138]  (96.8,103]   (0.2,0.244]     [0,4.1] (20,23] (0.434,0.472] (46.3,49.4]
17 (0.072,0.138]   (103,109]   (0.2,0.244] (10.3,23.7] (23,26] (0.472,0.506] [31.4,46.3]
18     [0,0.072]   (103,109] (0.305,0.692]     (6,7.9] (26,44] (0.434,0.472] (52.3,55.4]
19     [0,0.072]  (96.8,103]   (0.2,0.244]     (6,7.9]  [7,18] (0.472,0.506] (55.4,67.3]
20     [0,0.072] [66.1,96.8]   (0.156,0.2] (10.3,23.7]  [7,18] [0.299,0.434] (52.3,55.4]
21     [0,0.072]   (103,109] [0.012,0.156]     (6,7.9] (23,26] (0.506,0.542] (52.3,55.4]
22     [0,0.072]  (96.8,103] (0.305,0.692]  (7.9,10.3] (26,44] [0.299,0.434] (46.3,49.4]
23     [0,0.072]  (96.8,103] (0.244,0.305] (10.3,23.7] (23,26] (0.434,0.472] [31.4,46.3]
24     [0,0.072]   (109,116] (0.305,0.692]  (7.9,10.3] (26,44] (0.542,0.735] (55.4,67.3]
25     [0,0.072]  (96.8,103] [0.012,0.156]  (7.9,10.3]  [7,18] (0.434,0.472] [31.4,46.3]
26     [0,0.072] [66.1,96.8] [0.012,0.156] (10.3,23.7]  [7,18] (0.472,0.506] (49.4,52.3]
27 (0.072,0.138]   (103,109] (0.244,0.305]     [0,4.1] (20,23] (0.506,0.542] (52.3,55.4]
28     [0,0.072] [66.1,96.8]   (0.156,0.2]  (7.9,10.3]  [7,18] [0.299,0.434] (49.4,52.3]
29 (0.072,0.138]   (109,116]   (0.2,0.244]  (7.9,10.3] (26,44] (0.472,0.506] [31.4,46.3]
30     [0,0.072]   (103,109] (0.305,0.692]  (7.9,10.3] (26,44] [0.299,0.434] (49.4,52.3]
31     [0,0.072]  (96.8,103] (0.244,0.305]     (4.1,6] (26,44] (0.472,0.506] (55.4,67.3]
32     [0,0.072]   (103,109]   (0.2,0.244]     (6,7.9] (20,23] [0.299,0.434] (46.3,49.4]
33     [0,0.072]  (96.8,103]   (0.2,0.244]  (7.9,10.3] (18,20] (0.434,0.472] (52.3,55.4]
34     [0,0.072]  (96.8,103] (0.244,0.305]     (6,7.9] (26,44] (0.434,0.472] [31.4,46.3]
35  (0.138,0.19]   (116,146] (0.305,0.692]  (7.9,10.3] (20,23] (0.506,0.542] (52.3,55.4]
36     [0,0.072]   (116,146] (0.244,0.305]     (6,7.9] (20,23] (0.506,0.542] (49.4,52.3]
37     [0,0.072]  (96.8,103]   (0.156,0.2]     [0,4.1] (23,26] (0.506,0.542] [31.4,46.3]
38     [0,0.072]   (103,109] (0.305,0.692]     (6,7.9] (26,44] (0.472,0.506] (52.3,55.4]
39     [0,0.072]   (109,116] (0.305,0.692]     (4.1,6] (23,26] (0.472,0.506] (52.3,55.4]
40 (0.072,0.138]  (96.8,103] (0.244,0.305]     (6,7.9] (23,26] (0.434,0.472] (49.4,52.3]
41     [0,0.072]   (109,116] (0.244,0.305] (10.3,23.7] (20,23] (0.506,0.542] (49.4,52.3]
42     [0,0.072]   (116,146] (0.244,0.305]     (6,7.9] (26,44] (0.542,0.735] (52.3,55.4]
43     [0,0.072]  (96.8,103] (0.305,0.692]     [0,4.1] (26,44] [0.299,0.434] (52.3,55.4]
44     [0,0.072]   (109,116] (0.305,0.692]     (6,7.9] (26,44] (0.434,0.472] [31.4,46.3]
45 (0.072,0.138]   (103,109] (0.305,0.692] (10.3,23.7] (26,44] (0.472,0.506] [31.4,46.3]
46     [0,0.072]   (109,116] (0.244,0.305] (10.3,23.7] (20,23] (0.434,0.472] (52.3,55.4]
47 (0.072,0.138]   (109,116]   (0.156,0.2]  (7.9,10.3]  [7,18] (0.472,0.506] (49.4,52.3]
48 (0.072,0.138]   (109,116]   (0.2,0.244]  (7.9,10.3] (26,44] (0.472,0.506] [31.4,46.3]
49     [0,0.072]   (103,109]   (0.2,0.244]     (6,7.9] (20,23] [0.299,0.434] (49.4,52.3]
50     [0,0.072]   (109,116]   (0.2,0.244] (10.3,23.7] (23,26] (0.472,0.506] [31.4,46.3]
51     [0,0.072]  (96.8,103]   (0.2,0.244]     [0,4.1] (20,23] (0.472,0.506] [31.4,46.3]
52     [0,0.072]  (96.8,103] (0.305,0.692]     (6,7.9] (20,23] [0.299,0.434] (46.3,49.4]
53 (0.072,0.138]   (116,146] (0.305,0.692]     [0,4.1] (26,44] (0.542,0.735] [31.4,46.3]
54     [0,0.072]   (103,109]   (0.2,0.244]     (6,7.9] (20,23] (0.434,0.472] (46.3,49.4]
