Date,Sep,Opp,WL,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1980-10-10,,WSB,L,85,95,,,,.326,,.418,52.5,67.6,,,.382,,,.191,.452,,,.226
1980-10-11,@,IND,L,87,100,,,,.375,.013,.467,43.0,50.0,,3.4,.400,22.5,,.288,.489,20.4,,.159
1980-10-13,@,NJN,L,92,108,,,,.289,,.537,45.3,53.8,,,.513,,,.184,.564,,,.256
1980-10-14,@,CLE,L,91,99,91.3,99.3,99.7,.449,.014,.551,52.6,42.9,6.0,10.6,.514,25.3,31.3,.290,.438,14.1,67.4,.156
1980-10-16,,SAS,L,99,102,,,,.178,,.454,48.1,59.5,,13.4,.416,16.2,,.149,.552,30.6,,.418
1980-10-18,,ATL,L,123,125,,,,.443,.011,.585,48.9,53.3,,20.0,.511,26.0,,.375,.444,18.5,,.280
1980-10-22,,PHI,L,93,94,,,,.288,.019,.397,53.8,61.1,,,.346,,,.202,.515,,,.353
1980-10-25,@,HOU,W,112,109,,,,,,,,,,,,,,,,,,
1980-10-29,,BOS,L,85,103,,,,.176,,.433,45.9,62.2,,,.407,21.0,,.121,.524,22.7,,.179
1980-10-31,,PHO,L,98,103,88.2,92.7,100.7,.352,.022,.466,46.9,60.5,9.0,8.2,.418,18.6,29.4,.242,.419,20.6,66.0,.360
1980-11-01,@,CHI,L,100,122,95.2,116.1,105.1,.378,.024,.523,43.3,42.1,13.3,2.5,.463,19.4,21.1,.293,.622,18.6,72.4,.244
1980-11-04,@,MIL,W,98,96,,,,.314,.000,.501,53.8,57.9,,1.5,.442,17.7,,.256,.586,25.8,,.200
1980-11-05,@,PHI,L,103,107,,,,.330,,.511,49.4,71.4,,4.1,.477,,,.216,.595,,,.257
1980-11-07,@,WSB,L,88,114,,,,.266,,.419,47.1,60.0,,,.372,,,.191,.540,,,.216
1980-11-08,,DAL,W,101,73,,,,.277,.000,.542,47.9,31.7,,,.494,21.8,,.229,.278,23.0,,.346
1980-11-11,@,NYK,L,118,149,,,,.359,,.554,40.0,58.7,,,.505,,,.272,.619,,,.238
1980-11-12,,MIL,L,98,122,,,,.306,.010,.441,49.4,55.6,,8.0,.367,14.6,,.265,.587,18.6,,.453
1980-11-14,,CHI,W,106,99,114.6,107.1,92.5,.217,.000,.583,51.3,48.9,4.3,10.0,.566,16.5,41.2,.145,.500,20.0,59.5,.356
1980-11-16,@,NJN,L,80,89,,,,.231,,.399,45.3,40.6,,,.357,,,.165,.516,,,.403
1980-11-18,,IND,L,97,102,,,,.290,.032,.462,48.2,51.4,,17.9,.398,14.6,,.247,.522,22.3,,.478
1980-11-20,,SDC,W,97,90,,,,.458,.000,.486,54.2,51.4,,15.7,.446,14.6,,.277,.486,21.7,,.260
1980-11-22,,NJN,W,117,103,,,,,,,,,,,,,,,,,,
1980-11-26,,UTA,L,97,104,,,,.352,.011,.462,54.9,43.2,,6.9,.412,,,.242,.517,,,.161
1980-11-28,,KCK,W,104,94,,,,.421,,.577,52.7,53.8,,,.513,,,.342,.494,,,.234
1980-11-29,@,ATL,W,98,95,,,,.407,,.513,45.2,58.3,,7.5,.444,,,.321,.413,,,.363
1980-12-02,,BOS,L,85,94,,,,.289,,.454,48.9,58.8,,,.410,21.1,,.205,.460,18.3,,.161
1980-12-05,@,WSB,L,92,103,,,,.360,,.462,42.2,61.5,,,.453,,,.163,.533,,,.078
1980-12-06,@,CLE,L,100,101,113.1,114.2,88.4,.183,.000,.564,59.4,53.3,7.9,3.9,.549,16.1,47.2,.122,.545,14.8,72.7,.221
1980-12-10,,ATL,L,92,100,,,,.403,.028,.543,49.2,50.0,,13.6,.500,19.9,,.278,.545,23.1,,.403
1980-12-12,,CLE,W,101,95,102.5,96.5,98.5,.191,.021,.495,45.7,54.5,11.2,10.0,.468,11.3,30.2,.138,.417,15.1,58.8,.098
1980-12-13,@,NYK,L,94,100,,,,.346,,.504,53.2,73.7,,,.469,,,.222,.506,,,.193
1980-12-17,,NYK,L,103,119,,,,.284,.011,.482,44.2,46.5,,,.453,,,.179,.549,,,.354
1980-12-18,@,MIL,L,104,121,,,,.468,.000,.546,45.3,65.9,,2.4,.519,17.3,,.278,.619,18.5,,.202
1980-12-19,,IND,W,109,106,,,,.414,.000,.530,49.4,45.0,,12.1,.460,14.9,,.333,.473,15.3,,.194
1980-12-21,@,SDC,L,97,117,,,,.620,.000,.537,45.1,62.9,,7.4,.493,21.0,,.380,.587,16.6,,.186
1980-12-23,@,PHO,L,104,113,101.2,110.0,102.7,.430,.013,.553,37.3,62.5,15.6,4.8,.513,19.0,26.3,.291,.471,21.9,48.6,.388
1980-12-26,,HOU,L,94,114,,,,,,,,,,,,,,,,,,
1980-12-27,@,CHI,L,97,104,98.4,105.5,98.6,.307,.000,.486,45.3,37.5,5.1,8.6,.455,20.7,42.2,.193,.494,18.7,48.8,.296
1980-12-30,@,ATL,L,89,96,,,,.342,.000,.490,54.4,48.5,,2.8,.418,20.2,,.291,.556,22.2,,.222
1981-01-02,,NYK,W,102,100,,,,,,,,,,,,,,,,,,
1981-01-06,@,POR,L,90,110,91.5,111.8,98.4,.161,.011,.452,36.7,57.9,15.2,,.409,13.8,27.1,.151,.511,19.5,47.6,.200
1981-01-07,@,SEA,L,94,99,96.6,101.7,97.3,.356,.000,.467,47.3,60.5,13.4,,.437,13.0,32.7,.207,.548,25.4,76.0,.500
1981-01-10,@,GSW,L,103,105,105.1,107.2,98.0,.264,.000,.530,50.0,62.8,13.3,1.3,.494,16.4,37.5,.195,.579,22.6,66.7,.224
1981-01-11,@,LAL,L,108,117,113.2,122.6,95.4,.270,.000,.542,49.3,77.8,7.3,2.5,.506,13.8,41.5,.202,.633,16.5,60.0,.215
1981-01-13,,MIL,L,96,119,,,,.340,.000,.444,47.5,55.3,,7.1,.404,20.6,,.213,.505,18.5,,.192
1981-01-14,@,IND,L,99,101,,,,.380,,.537,42.9,70.3,,8.0,.468,20.0,,.316,.420,15.5,,.307
1981-01-15,,WSB,L,89,106,,,,.148,,.475,47.0,55.0,,,.455,,,.102,.536,,,.190
1981-01-17,,NJN,L,104,116,,,,,,,,,,,,,,,,,,
1981-01-19,@,BOS,L,90,92,,,,.304,.000,.575,43.8,54.1,,,.536,,,.232,.520,,,.203
1981-01-20,,PHI,W,83,75,,,,.364,.000,.465,47.6,50.0,,9.3,.442,21.2,,.195,.447,25.0,,.092
1981-01-22,,CHI,L,92,125,80.7,109.7,113.9,.378,.012,.481,40.5,62.9,10.5,8.9,.427,22.0,17.4,.268,.571,20.9,68.4,.231
1981-01-24,,CLE,W,117,94,121.0,97.2,96.7,.233,.023,.617,49.4,66.0,16.6,5.2,.581,14.4,32.4,.198,.439,19.0,62.2,.268
1981-01-26,@,UTA,L,99,102,,,,.202,.024,.541,42.9,55.8,,6.0,.518,,,.143,.542,,,.145
1981-01-27,@,DEN,L,123,143,,,,,,,,,,,,,,,,,,
1981-01-29,,GSW,L,112,117,106.2,110.9,105.5,.344,.010,.507,40.9,67.4,12.3,14.1,.448,12.6,26.9,.271,.538,17.7,58.5,.423
1981-02-03,@,SAS,L,99,102,,,,,,,,,,,,,,,,,,
1981-02-04,@,KCK,L,90,91,,,,.410,,.459,53.5,59.4,,2.4,.386,,,.313,.506,,,.071
1981-02-06,,LAL,L,102,111,98.8,107.6,103.2,.223,.010,.451,52.4,48.8,13.6,5.6,.417,16.3,48.3,.155,.528,17.8,57.8,.191
1981-02-07,@,CHI,L,90,98,99.9,108.7,90.1,.372,.000,.450,50.5,18.8,6.7,11.3,.372,13.0,38.9,.302,.463,12.1,63.3,.268
1981-02-08,,IND,L,101,124,,,,.420,.012,.526,54.5,41.7,,7.4,.444,22.6,,.358,.531,14.5,,.216
1981-02-10,@,DAL,W,101,95,,,,.333,.000,.587,49.4,57.5,,7.1,.533,20.4,,.280,.443,13.2,,.193
1981-02-13,@,NYK,L,92,120,,,,.310,,.570,58.1,48.7,,,.549,,,.197,.606,,,.122
1981-02-14,,WSB,W,105,103,,,,,,,,,,,,,,,,,,
1981-02-17,@,CLE,L,108,109,110.2,111.2,98.0,.369,.012,.553,48.1,53.7,7.1,6.1,.494,14.1,29.5,.298,.578,16.7,72.7,.157
1981-02-18,@,PHI,L,97,111,,,,.273,.011,.492,49.4,58.5,,3.4,.466,,,.170,.540,,,.195
1981-02-19,,POR,L,106,115,101.2,109.8,104.7,.402,.043,.489,51.2,56.4,9.5,4.7,.429,11.4,31.1,.293,.528,14.3,74.4,.250
1981-02-21,,BOS,L,119,130,,,,.464,,.588,50.7,50.0,,,.524,18.5,,.369,.604,16.4,,.220
1981-02-27,,CLE,W,118,109,108.2,100.0,109.0,.458,.000,.592,53.5,56.3,8.3,8.1,.578,20.7,40.0,.265,.433,14.2,62.7,.171
1981-03-01,@,NJN,W,117,104,,,,.459,,.658,59.1,51.2,,,.581,,,.419,.472,,,.239
1981-03-03,@,MIL,L,98,115,,,,.530,.012,.479,47.3,65.7,,4.4,.422,19.6,,.337,.484,17.5,,.283
1981-03-05,,NYK,L,101,104,,,,,,,,,,,,,,,,,,
1981-03-07,,DEN,L,109,121,104.8,116.3,104.0,.363,.022,.516,48.2,41.9,6.7,2.5,.478,13.2,30.4,.242,.537,13.6,69.2,.402
1981-03-11,,ATL,W,100,97,,,,.453,.000,.556,52.8,64.1,,12.3,.520,15.9,,.293,.561,17.8,,.348
1981-03-13,,SEA,L,100,102,,,,.519,.025,.503,51.2,57.9,,11.5,.475,,,.284,.500,,,.308
1981-03-14,@,IND,W,101,94,,,,.225,.000,.574,51.7,55.8,,2.4,.538,17.0,,.188,.450,12.3,,.144
1981-03-18,,NJN,W,118,115,,,,,,,55.6,,,,,,,,,,,
1981-03-20,,MIL,L,86,104,,,,.304,.013,.480,48.9,56.3,,11.7,.405,25.7,,.278,.463,14.1,,.168
1981-03-22,,CHI,L,103,109,97.6,103.2,105.6,.268,.049,.562,55.1,62.8,11.4,9.6,.530,20.1,24.3,.195,.575,23.3,90.6,.342
1981-03-24,@,ATL,L,91,96,,,,.191,,.472,46.5,57.5,,5.7,.449,14.2,,.124,.466,10.9,,.159
1981-03-25,@,PHI,L,75,114,,,,.282,,.428,40.0,66.7,,4.6,.385,,,.192,.540,,,.230
1981-03-27,@,BOS,W,115,90,,,,.374,,.543,54.2,61.4,,,.484,10.2,,.297,.464,18.1,,.143
1981-03-28,@,WSB,L,103,108,,,,,,,,,,,,,,,,,,
1981-10-30,,MIL,W,118,113,,,,.364,.011,.578,50.0,52.2,,10.8,.528,19.7,,.284,.540,20.0,,.218
1981-10-31,@,CHI,W,119,106,118.2,105.3,100.7,.467,.000,.536,49.0,37.2,7.0,7.2,.467,6.7,32.7,.359,.425,14.8,65.4,.368
1981-11-05,,NJN,W,109,103,,,,.582,.015,.648,53.9,64.1,,,.582,,,.463,.483,,,.218
1981-11-06,@,WSB,L,82,86,,,,.306,,.425,47.2,65.6,,,.376,,,.212,.395,,,.209
1981-11-07,,BOS,L,88,129,,,,.299,.052,.401,48.1,44.1,,,.351,,,.206,.543,,,.287
1981-11-10,,PHI,L,93,95,87.2,89.1,106.7,.315,.011,.444,51.5,50.0,9.4,8.0,.413,19.9,36.5,.185,.443,19.6,68.1,.193
1981-11-12,,CLE,W,130,99,118.2,90.0,110.0,.187,.009,.561,52.0,44.8,11.8,7.4,.542,11.5,38.8,.131,.447,20.6,64.2,.160
1981-11-14,@,ATL,W,117,104,,,,.586,,.664,56.9,65.0,,,.571,,,.529,.518,,,.202
1981-11-18,@,CLE,L,103,110,103.5,110.6,99.5,.365,.052,.462,51.1,39.5,7.0,5.5,.396,14.6,45.1,.281,.527,12.7,58.1,.154
1981-11-19,,WSB,W,122,97,,,,.320,,.535,45.7,77.6,,19.8,.490,,,.240,.396,21.3,,.219
1981-11-21,,UTA,W,95,86,,,,.449,.026,.509,53.3,44.4,,,.462,,,.295,.435,,,.141
1981-11-24,@,MIL,L,95,103,,,,.333,.046,.476,47.1,56.8,,5.7,.437,19.4,,.218,.494,17.8,,.169
1981-11-25,@,KCK,W,129,122,,,,.606,,.542,63.6,39.5,,5.8,.457,,,.457,.529,,,.126
1981-11-27,,ATL,L,112,114,,,,.271,.021,.521,54.3,47.8,,11.7,.484,,,.198,.468,,,.277
1981-11-28,@,PHI,L,103,116,,,,.481,.012,.525,55.3,60.0,,6.3,.438,22.2,,.395,.558,19.0,,.105
1981-12-01,@,NYK,L,100,112,,,,.275,.075,.558,46.3,54.8,,,.538,,,.175,.545,,,.182
1981-12-02,@,BOS,L,114,115,,,,.330,,.547,41.2,60.0,,,.495,,,.264,.522,,,.207
1981-12-04,@,IND,L,95,105,,,,.088,.055,.503,49.5,45.5,,5.5,.484,,,.077,.446,,,.237
1981-12-05,,MIL,L,108,111,,,,.455,.057,.511,51.1,53.7,,7.1,.477,,,.273,.529,,,.247
1981-12-10,,NYK,L,101,106,,,,.363,,.479,57.4,55.0,,,.440,,,.231,.477,,,.264
1981-12-12,@,SEA,L,111,117,111.5,117.5,99.6,.345,.034,.554,50.0,66.7,8.0,3.1,.494,11.5,25.0,.287,.649,18.3,87.5,.448
1981-12-13,@,POR,L,99,105,99.5,105.5,99.5,.333,.060,.514,47.3,52.6,7.0,3.5,.458,17.2,31.8,.262,.453,13.3,61.7,.314
1981-12-15,@,GSW,W,108,104,107.0,103.1,100.9,.364,.000,.529,62.0,58.1,9.9,7.4,.489,16.4,48.8,.250,.478,15.9,73.5,.187
1981-12-17,,IND,L,96,100,,,,.241,.038,.549,51.3,60.0,,22.6,.513,,,.190,.472,,,.193
1981-12-19,,NYK,W,132,104,,,,.280,,.632,55.7,60.7,,,.602,,,.215,.544,,,.228
1981-12-22,@,DAL,W,106,98,,,,.493,.000,.581,48.8,48.7,,,.520,20.8,,.373,.449,14.9,,.202
1981-12-23,@,DEN,W,124,119,113.0,108.5,109.7,.404,.000,.560,46.1,61.7,8.2,12.9,.500,13.3,34.0,.319,.476,14.7,57.7,.192
1981-12-26,,CHI,W,96,94,94.6,92.6,101.5,.319,.000,.463,51.7,50.0,12.8,2.9,.418,16.2,32.7,.220,.563,23.5,80.0,.197
1981-12-29,@,WSB,L,125,129,,,,.522,,.553,54.7,34.1,,,.484,,,.391,.495,,,.398
1981-12-30,@,NJN,L,119,130,,,,.337,,.545,46.5,56.5,,8.8,.489,,,.274,.593,,,.242
1982-01-02,@,NYK,L,108,121,,,,.318,,.557,44.4,62.8,,,.518,,20.0,.235,.500,,64.0,.152
1982-01-05,,PHI,W,124,101,,,,.394,.020,.534,53.0,73.3,,16.9,.455,7.2,,.343,.471,16.8,,.233
1982-01-07,,PHO,L,94,110,96.7,113.2,97.2,.281,.067,.470,42.4,55.0,7.2,12.5,.449,10.7,23.5,.157,.488,13.3,65.9,.366
1982-01-09,,LAL,L,127,130,,,,.485,.010,.540,44.8,55.3,,,.485,,,.340,.566,,,.182
1982-01-10,@,BOS,L,124,134,,,,.319,,.598,42.4,53.1,,,.549,,,.264,.535,,,.283
1982-01-12,@,CHI,W,122,111,110.4,100.5,110.5,.306,.020,.549,47.3,51.0,10.9,6.8,.500,15.2,34.0,.245,.523,23.7,63.4,.244
1982-01-14,,WSB,L,114,121,,,,.221,,.547,40.0,52.1,,,.505,,,.189,.475,,,.248
1982-01-16,,BOS,L,120,128,,,,.272,.068,.520,45.9,62.0,,,.495,,,.175,.535,,,.198
1982-01-17,@,MIL,W,108,103,,,,.393,.048,.548,47.6,78.9,,6.0,.470,15.4,,.345,.466,16.1,,.225
1982-01-19,@,UTA,L,117,123,,,,.283,.020,.526,53.4,44.9,,0.0,.495,,,.192,.577,,,.113
1982-01-21,@,SDC,W,120,110,,,,.481,.000,.611,50.8,51.1,,2.5,.556,14.8,,.370,.561,18.0,,.220
1982-01-22,@,LAL,L,111,123,,,,.124,.027,.466,37.7,70.6,,,.451,,,.080,.505,,,.232
1982-01-23,@,PHO,L,90,113,87.7,110.2,102.6,.200,.021,.435,46.8,55.3,4.9,5.4,.400,14.1,30.4,.147,.511,13.4,71.1,.207
1982-01-27,,ATL,W,108,107,,,,.204,,.533,58.2,55.6,,,.484,,,.194,.560,,,.169
1982-02-02,@,ATL,W,106,105,,,,.436,,.570,48.8,78.9,,,.500,,,.359,.527,,,.365
1982-02-05,@,CHI,W,110,103,109.4,102.4,100.5,.325,.000,.601,50.6,47.7,6.0,5.9,.550,17.2,24.3,.275,.489,14.8,72.7,.193
1982-02-06,,NJN,L,120,125,,,,.456,.044,.555,48.9,60.5,,,.478,,,.378,.538,,,.269
1982-02-09,,CHI,W,128,123,118.5,113.9,97.8,.310,.000,.647,48.4,71.7,11.1,9.9,.609,14.7,25.0,.253,.587,17.1,71.9,.163
1982-02-10,@,NJN,L,108,115,,,,.329,,.575,49.3,38.1,,,.512,,,.293,.533,,,.211
1982-02-11,,CLE,W,123,113,117.9,108.3,104.3,.270,.010,.550,47.8,68.0,7.7,3.2,.500,6.7,29.2,.230,.510,14.0,69.0,.156
1982-02-13,,POR,L,120,128,113.6,121.2,105.6,.365,.073,.539,52.2,59.6,8.5,11.2,.495,12.6,36.5,.260,.587,12.0,72.5,.217
1982-02-16,,HOU,W,111,109,,,,.261,.011,.541,51.6,58.7,,,.500,,,.207,.485,,,.109
1982-02-17,@,SAS,L,112,126,,,,.289,,.512,53.0,68.9,,8.2,.469,13.5,,.216,.588,12.0,,.124
1982-02-20,,IND,W,115,100,,,,.361,.012,.598,57.1,59.6,,8.1,.566,,,.253,.472,,,.167
1982-02-25,,SAS,L,116,119,,,,.307,.050,.506,51.4,57.4,,11.2,.475,11.6,,.198,.500,12.7,,.214
1982-02-27,,KCK,W,127,119,,,,.341,.011,.607,50.0,64.0,,12.9,.549,,,.297,.516,,,.234
1982-02-28,@,IND,L,101,112,,,,.219,.048,.439,52.5,50.0,,7.6,.419,,,.124,.543,,,.280
1982-03-02,@,MIL,L,91,101,,,,.274,.063,.427,53.2,52.8,,1.2,.389,17.1,,.179,.494,18.1,,.172
1982-03-04,,CHI,W,122,97,,,,.303,.040,.544,49.5,43.1,,13.8,.525,10.4,,.182,.439,18.6,,.305
1982-03-06,@,NYK,W,115,111,,,,.351,.011,.530,43.2,54.5,,,.473,9.2,,.277,.534,21.8,,.207
1982-03-08,,BOS,L,101,111,,,,.375,.088,.542,52.8,57.5,,,.506,22.5,,.250,.612,21.1,,.237
1982-03-10,,DEN,L,113,124,108.4,118.9,104.3,.415,.061,.583,48.1,48.9,8.6,14.9,.555,19.8,35.7,.268,.552,15.0,62.9,.322
1982-03-12,,GSW,W,121,117,110.4,106.8,109.6,.461,.011,.565,53.7,67.4,8.2,9.6,.517,13.7,30.2,.326,.495,11.9,73.1,.168
1982-03-14,@,CLE,W,109,103,110.7,104.6,98.5,.264,.011,.561,48.1,59.6,,3.5,.540,14.1,28.9,.172,.488,14.0,65.9,.221
1982-03-16,,SDC,W,114,110,,,,.420,.000,.547,45.9,66.7,,10.0,.477,10.3,,.341,.580,14.9,,.198
1982-03-18,,SEA,W,119,115,114.9,111.1,103.5,.296,.020,.537,59.0,79.2,10.6,8.3,.490,14.0,43.6,.235,.553,14.9,74.4,.247
1982-03-19,@,HOU,W,111,102,,,,.403,.000,.612,50.6,50.0,,,.571,,,.299,.443,,,.165
1982-03-21,@,ATL,L,111,119,,,,.534,,.616,42.3,60.5,,,.534,15.1,,.452,.580,17.8,,.427
1982-03-25,,PHI,W,100,98,,,,.337,.000,.489,55.6,42.5,,6.6,.449,17.0,,.225,.506,18.4,,.260
1982-03-26,@,BOS,L,104,125,,,,.309,,.487,56.3,59.0,,,.420,19.6,,.266,.610,,,.233
1982-03-27,@,NJN,W,123,121,,,,.407,.012,.607,48.8,53.2,,,.552,,,.326,.511,,,.266
1982-03-30,@,WSB,L,98,127,,,,.322,.011,.493,44.6,39.5,,,.437,,,.253,.621,,,.218
1982-03-31,@,IND,L,106,108,,,,.292,.022,.528,49.5,52.3,,4.3,.494,,,.202,.495,,,.135
1982-04-01,,DAL,L,120,121,,,,.461,,.561,52.8,47.6,,,.472,15.1,,.404,.505,11.8,,.212
1982-04-03,,IND,W,105,102,,,,.363,.022,.498,54.3,77.5,,9.4,.440,10.2,,.275,.489,10.8,,.156
1982-04-07,,ATL,W,120,115,,,,.453,.032,.527,52.4,65.9,,11.0,.463,,,.337,.440,,,.270
1982-04-09,,MIL,L,100,118,,,,.374,.030,.434,47.6,48.7,,13.4,.399,12.9,,.212,.537,20.1,,.366
1982-04-11,,NYK,W,97,89,,,,.431,.069,.566,50.0,78.4,,,.521,,,.306,.426,,,.084
1982-04-14,@,PHI,L,111,119,,,,.356,.033,.533,47.1,51.2,,3.6,.483,19.4,,.267,.541,19.9,,.318
1982-04-15,,CLE,W,120,110,98.4,90.2,122.0,.271,.056,.501,54.8,68.8,7.4,13.5,.458,19.5,35.2,.206,.451,18.0,76.0,.308
1982-04-17,,NJN,L,132,147,,,,.404,.115,.539,53.3,64.6,,,.486,,,.298,.657,,,.337
1982-04-18,@,CLE,W,116,113,,,,.540,,.539,51.0,53.8,,2.9,.454,,,.425,.451,,,.194
1982-10-29,,ATL,W,94,86,,,,.395,.000,.494,48.3,58.3,,12.0,.444,17.4,,.272,.470,26.0,,.096
1982-10-31,@,IND,W,118,115,112.8,110.0,104.6,.274,.000,.554,51.1,57.4,4.8,1.0,.495,14.5,36.4,.253,.500,13.7,64.6,.173
1982-11-02,@,CLE,W,128,119,120.5,112.0,106.3,.455,.000,.606,51.9,42.9,4.7,6.7,.557,11.7,30.8,.341,.559,14.9,71.4,.161
1982-11-03,,CHI,W,152,144,119.8,113.5,126.9,.381,.010,.620,50.5,66.7,9.5,20.0,.576,17.5,41.7,.295,.539,19.5,60.5,.320
1982-11-05,,PHI,L,109,120,,,,.519,.052,.576,42.1,47.5,,6.7,.532,16.7,,.351,.577,12.2,,.165
1982-11-06,@,ATL,L,93,95,,,,.134,.000,.453,48.0,66.7,,3.3,.433,15.6,,.093,.462,18.8,,.097
1982-11-09,@,WSB,W,108,105,97.9,95.2,110.3,.353,.012,.550,48.3,65.1,9.1,2.2,.512,19.0,21.1,.247,.500,19.0,69.4,.141
1982-11-10,,IND,W,115,91,110.2,87.2,104.3,.291,.025,.645,52.4,62.5,6.7,12.2,.608,19.8,23.3,.241,.364,14.0,68.5,.192
1982-11-12,,MIL,W,111,100,107.5,96.9,103.2,.178,.010,.510,57.4,51.1,5.8,13.2,.465,12.8,41.2,.168,.474,15.8,74.0,.105
1982-11-13,@,NYK,L,100,112,,,,.322,,.503,48.4,60.5,,,.448,,,.253,.457,,,.304
1982-11-17,@,PHI,L,103,120,95.2,110.9,108.2,.303,.011,.511,46.8,66.7,8.3,5.1,.472,19.2,32.7,.213,.550,15.6,62.2,.100
