Date,Sep,Opp,WL,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1980-10-10,,WSB,L,85,95,34,89,.382,0,,,17,29,.586,,53,23,,,,28,38,84,.452,0,,,19,26,.731,,48,16,,,,25
1980-10-11,@,IND,L,87,100,32,80,.400,0,1,.000,23,30,.767,,40,16,13,3,27,26,43,88,.489,0,0,,14,22,.636,,53,25,12,6,25,26
1980-10-13,@,NJN,L,92,108,39,76,.513,0,,,14,22,.636,,29,21,,,,25,44,78,.564,0,,,20,26,.769,,35,32,,,,28
1980-10-14,@,CLE,L,91,99,35,69,.507,1,1,1.000,20,31,.645,10,41,15,6,10,28,25,42,96,.438,0,2,.000,15,18,.833,15,37,26,17,5,17,29
1980-10-16,,SAS,L,99,102,42,101,.416,0,,,15,18,.833,,39,25,13,9,21,35,37,67,.552,0,,,28,38,.737,,42,20,8,11,37,27
1980-10-18,,ATL,L,123,125,45,88,.511,0,1,.000,33,39,.846,,43,24,,21,37,35,47,107,.439,1,2,.500,30,37,.811,,45,20,,4,28,35
1980-10-22,,PHI,L,93,94,36,104,.346,0,2,.000,21,30,.700,27,50,22,,,,27,35,68,.515,0,0,,24,33,.727,,43,21,,,,26
1980-10-25,@,HOU,W,112,109,45,,,0,,,22,31,.710,,,,,,,30,42,,,0,,,25,31,.806,,,,,,,25
1980-10-29,,BOS,L,85,103,37,91,.407,0,,,11,16,.688,,39,23,,,26,21,44,84,.524,0,,,15,18,.833,,46,26,,,27,21
1980-10-31,,PHO,L,98,103,38,91,.418,0,2,.000,22,32,.688,15,46,23,10,7,24,40,36,86,.419,0,1,.000,31,41,.756,16,52,23,7,7,27,29
