,Date,Opp,WL,TmScore,OppScore,FG,FGA,FG%,3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,TmeFG%,TmTOV%,ORB%,TmFT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Home,Opponent_PlayOff,WinsInLast15,WinsInLast10,WinsInLast5,days_between_games,ORtg_rolling_mean,DRtg_rolling_mean,TmScore_rolling_mean,OppScore_rolling_mean,Team_Prospect
0,1996-11-01,PHO,True,96,82,31,63,0.492,6,18,0.333,28,40,0.7,11,51,26,6,8,23,26,32,91,0.352,3,13,0.231,15,21,0.714,15,36,21,11,4,12,25,104.1,88.9,92.2,0.635,0.286,0.596,58.6,83.9,6.5,10.3,0.54,22.2,34.4,0.444,0.368,10.7,72.7,0.165,True,True,1.0,1.0,1.0,0,104.1,88.9,96.0,82.0,True
1,1996-11-03,MIN,True,91,85,38,79,0.481,4,12,0.333,11,17,0.647,14,47,23,6,6,21,21,34,82,0.415,3,13,0.231,14,18,0.778,12,37,23,7,6,15,24,100.2,93.6,90.8,0.215,0.152,0.526,56.0,60.5,6.6,8.7,0.506,19.5,35.9,0.139,0.433,14.3,73.3,0.171,True,True,2.0,2.0,2.0,2,102.15,91.25,93.5,83.5,True
2,1996-11-05,NYK,True,98,92,32,64,0.5,6,13,0.462,28,36,0.778,10,39,21,6,7,17,20,36,83,0.434,9,21,0.429,11,19,0.579,14,38,20,10,2,14,27,112.9,106.0,86.8,0.563,0.203,0.614,50.6,65.6,6.9,11.3,0.547,17.6,29.4,0.438,0.488,13.3,67.4,0.133,False,True,3.0,3.0,3.0,2,105.73333333333333,96.16666666666667,95.0,86.33333333333333,True
3,1996-11-06,CHH,False,78,88,33,72,0.458,4,17,0.235,8,11,0.727,9,40,22,1,7,16,19,33,80,0.413,5,17,0.294,17,22,0.773,16,40,25,7,1,10,21,95.9,108.2,81.3,0.153,0.236,0.508,50.0,66.7,1.2,11.1,0.486,17.2,27.3,0.111,0.444,10.0,66.0,0.213,False,True,3.0,3.0,3.0,1,103.275,99.175,90.75,86.75,True
4,1996-11-08,TOR,False,92,93,34,88,0.386,7,20,0.35,17,29,0.586,14,41,14,9,6,13,16,36,75,0.48,10,18,0.556,11,20,0.55,11,47,22,9,9,19,26,98.7,99.8,93.2,0.33,0.227,0.457,46.6,41.2,9.7,10.5,0.426,11.4,28.0,0.193,0.547,18.5,71.1,0.147,False,False,3.0,3.0,3.0,2,102.36,99.3,91.0,88.0,True
5,1996-11-10,ATL,True,92,85,36,77,0.468,6,16,0.375,14,20,0.7,11,48,24,5,12,16,23,30,84,0.357,10,30,0.333,15,19,0.789,10,34,21,10,4,9,18,104.8,96.9,87.8,0.26,0.208,0.536,58.5,66.7,5.7,22.2,0.506,15.7,31.4,0.182,0.417,8.9,78.7,0.179,True,True,4.0,4.0,3.0,2,102.76666666666667,98.89999999999999,91.16666666666667,87.5,True
6,1996-11-12,HOU,True,126,115,46,100,0.46,10,27,0.37,24,31,0.774,18,48,20,5,6,14,27,42,98,0.429,11,37,0.297,20,27,0.741,18,46,32,6,10,17,20,121.7,111.0,85.7,0.31,0.27,0.554,51.1,43.5,4.8,9.8,0.51,11.0,39.1,0.24,0.485,13.4,62.5,0.204,False,True,5.0,5.0,3.0,2,105.47142857142856,100.62857142857142,96.14285714285714,91.42857142857143,True
7,1996-11-13,SAS,False,83,95,30,76,0.395,8,23,0.348,15,20,0.75,13,34,18,9,6,23,21,38,75,0.507,8,20,0.4,11,19,0.579,15,42,29,14,7,20,19,93.7,107.3,88.6,0.263,0.303,0.489,44.7,60.0,10.2,10.9,0.447,21.3,32.5,0.197,0.56,19.3,58.3,0.147,False,False,5.0,5.0,2.0,1,104.0,101.4625,94.5,91.875,True
8,1996-11-15,LAC,True,107,100,37,73,0.507,6,15,0.4,27,40,0.675,12,37,31,13,5,20,25,41,81,0.506,4,10,0.4,14,23,0.609,16,41,25,12,3,22,31,111.5,104.2,96.0,0.548,0.205,0.591,47.4,83.8,13.5,7.0,0.548,18.1,32.4,0.37,0.531,19.4,61.0,0.173,True,True,6.0,6.0,3.0,2,104.83333333333333,101.76666666666667,95.88888888888889,92.77777777777777,True
9,1996-11-17,PHO,True,102,88,34,69,0.493,10,24,0.417,24,35,0.686,6,42,26,9,2,20,19,36,85,0.424,4,19,0.211,12,15,0.8,11,38,24,12,1,14,18,108.0,93.2,94.5,0.507,0.348,0.604,52.5,76.5,9.5,3.0,0.565,19.2,18.2,0.348,0.447,13.3,76.6,0.141,False,True,7.0,7.0,4.0,2,105.15,100.91,96.5,92.3,True
