Date,Sep,Opp,WL,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1996-11-01,,PHO,W,96,82,104.1,88.9,92.2,.635,.286,.596,58.6,83.9,6.5,10.3,.540,22.2,34.4,.444,.368,10.7,72.7,.165
1996-11-03,,MIN,W,91,85,100.2,93.6,90.8,.215,.152,.526,56.0,60.5,6.6,8.7,.506,19.5,35.9,.139,.433,14.3,73.3,.171
1996-11-05,@,NYK,W,98,92,112.9,106.0,86.8,.563,.203,.614,50.6,65.6,6.9,11.3,.547,17.6,29.4,.438,.488,13.3,67.4,.133
1996-11-06,@,CHH,L,78,88,95.9,108.2,81.3,.153,.236,.508,50.0,66.7,1.2,11.1,.486,17.2,27.3,.111,.444,10.0,66.0,.213
1996-11-08,@,TOR,L,92,93,98.7,99.8,93.2,.330,.227,.457,46.6,41.2,9.7,10.5,.426,11.4,28.0,.193,.547,18.5,71.1,.147
1996-11-10,,ATL,W,92,85,104.8,96.9,87.8,.260,.208,.536,58.5,66.7,5.7,22.2,.506,15.7,31.4,.182,.417,8.9,78.7,.179
1996-11-12,@,HOU,W,126,115,121.7,111.0,85.7,.310,.270,.554,51.1,43.5,4.8,9.8,.510,11.0,39.1,.240,.485,13.4,62.5,.204
1996-11-13,@,SAS,L,83,95,93.7,107.3,88.6,.263,.303,.489,44.7,60.0,10.2,10.9,.447,21.3,32.5,.197,.560,19.3,58.3,.147
1996-11-15,,LAC,W,107,100,111.5,104.2,96.0,.548,.205,.591,47.4,83.8,13.5,7.0,.548,18.1,32.4,.370,.531,19.4,61.0,.173
1996-11-17,@,PHO,W,102,88,108.0,93.2,94.5,.507,.348,.604,52.5,76.5,9.5,3.0,.565,19.2,18.2,.348,.447,13.3,76.6,.141
1996-11-19,@,GSW,W,112,109,121.7,118.5,92.0,.288,.188,.621,49.3,73.9,9.8,11.1,.625,12.6,25.0,.150,.600,14.6,73.0,.163
1996-11-20,,UTA,L,97,113,104.8,122.1,92.5,.321,.262,.506,48.1,58.3,4.3,8.3,.482,13.5,31.4,.190,.576,12.9,76.7,.417
