Date,Sep,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1996-11-01,,PHO,W,96,82,31,63,.492,6,18,.333,28,40,.700,11,51,26,6,8,23,26,32,91,.352,3,13,.231,15,21,.714,15,36,21,11,4,12,25
1996-11-03,,MIN,W,91,85,38,79,.481,4,12,.333,11,17,.647,14,47,23,6,6,21,21,34,82,.415,3,13,.231,14,18,.778,12,37,23,7,6,15,24
1996-11-05,@,NYK,W,98,92,32,64,.500,6,13,.462,28,36,.778,10,39,21,6,7,17,20,36,83,.434,9,21,.429,11,19,.579,14,38,20,10,2,14,27
1996-11-06,@,CHH,L,78,88,33,72,.458,4,17,.235,8,11,.727,9,40,22,1,7,16,19,33,80,.413,5,17,.294,17,22,.773,16,40,25,7,1,10,21
1996-11-08,@,TOR,L,92,93,34,88,.386,7,20,.350,17,29,.586,14,41,14,9,6,13,16,36,75,.480,10,18,.556,11,20,.550,11,47,22,9,9,19,26
1996-11-10,,ATL,W,92,85,36,77,.468,6,16,.375,14,20,.700,11,48,24,5,12,16,23,30,84,.357,10,30,.333,15,19,.789,10,34,21,10,4,9,18
1996-11-12,@,HOU,W,126,115,46,100,.460,10,27,.370,24,31,.774,18,48,20,5,6,14,27,42,98,.429,11,37,.297,20,27,.741,18,46,32,6,10,17,20
1996-11-13,@,SAS,L,83,95,30,76,.395,8,23,.348,15,20,.750,13,34,18,9,6,23,21,38,75,.507,8,20,.400,11,19,.579,15,42,29,14,7,20,19
1996-11-15,,LAC,W,107,100,37,73,.507,6,15,.400,27,40,.675,12,37,31,13,5,20,25,41,81,.506,4,10,.400,14,23,.609,16,41,25,12,3,22,31
1996-11-17,@,PHO,W,102,88,34,69,.493,10,24,.417,24,35,.686,6,42,26,9,2,20,19,36,85,.424,4,19,.211,12,15,.800,11,38,24,12,1,14,18
1996-11-19,@,GSW,W,112,109,46,80,.575,8,15,.533,12,23,.522,9,36,34,9,6,13,22,41,80,.513,14,26,.538,13,18,.722,10,37,32,3,3,15,22
1996-11-20,,UTA,L,97,113,36,84,.429,9,22,.409,16,27,.593,16,39,21,4,5,15,26,40,72,.556,3,12,.250,30,36,.833,7,42,35,11,5,13,28
1996-11-22,,SAS,W,96,86,35,70,.500,6,18,.333,20,28,.714,13,37,23,13,3,18,18,36,72,.500,3,12,.250,11,20,.550,13,38,19,9,3,21,24
1996-11-24,,HOU,L,85,90,31,74,.419,9,21,.429,14,25,.560,11,36,20,8,2,13,23,28,67,.418,10,27,.370,24,31,.774,12,37,19,4,1,17,23
1996-11-26,@,PHI,W,100,88,34,78,.436,7,23,.304,25,39,.641,15,49,23,12,5,18,20,34,93,.366,5,18,.278,15,18,.833,20,53,18,10,3,21,27
1996-11-27,@,BOS,L,94,110,37,84,.440,6,21,.286,14,28,.500,10,40,19,8,12,11,21,42,82,.512,5,9,.556,21,30,.700,10,48,25,8,2,14,23
1996-11-29,@,DET,W,84,76,33,65,.508,7,17,.412,11,22,.500,8,40,21,6,1,18,24,25,73,.342,7,26,.269,19,24,.792,15,38,15,10,2,14,23
1996-12-01,,DEN,W,104,96,40,81,.494,6,17,.353,18,30,.600,12,43,28,8,6,18,21,34,84,.405,7,21,.333,21,25,.840,12,41,27,6,1,18,25
1996-12-03,,SEA,W,110,106,42,84,.500,9,19,.474,17,26,.654,13,37,32,8,9,12,26,39,79,.494,6,17,.353,22,32,.688,15,41,22,7,2,13,23
