"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeGame","PlayOff"
"1996-11-01","PHO",TRUE,0.492,0.333,0.7,0.352,0.231,0.714,0.635,0.596,0.586,0.839,0.065,0.103,0.54,0.222,0.344,0.444,0.368,0.107,0.727,0.165,TRUE,TRUE
"1996-11-03","MIN",TRUE,0.481,0.333,0.647,0.415,0.231,0.778,0.215,0.526,0.56,0.605,0.066,0.087,0.506,0.195,0.359,0.139,0.433,0.143,0.733,0.171,TRUE,TRUE
"1996-11-05","NYK",TRUE,0.5,0.462,0.778,0.434,0.429,0.579,0.563,0.614,0.506,0.656,0.069,0.113,0.547,0.176,0.294,0.438,0.488,0.133,0.674,0.133,FALSE,TRUE
"1996-11-06","CHH",FALSE,0.458,0.235,0.727,0.413,0.294,0.773,0.153,0.508,0.5,0.667,0.012,0.111,0.486,0.172,0.273,0.111,0.444,0.1,0.66,0.213,FALSE,TRUE
"1996-11-08","TOR",FALSE,0.386,0.35,0.586,0.48,0.556,0.55,0.33,0.457,0.466,0.412,0.097,0.105,0.426,0.114,0.28,0.193,0.547,0.185,0.711,0.147,FALSE,FALSE
"1996-11-10","ATL",TRUE,0.468,0.375,0.7,0.357,0.333,0.789,0.26,0.536,0.585,0.667,0.057,0.222,0.506,0.157,0.314,0.182,0.417,0.089,0.787,0.179,TRUE,TRUE
"1996-11-12","HOU",TRUE,0.46,0.37,0.774,0.429,0.297,0.741,0.31,0.554,0.511,0.435,0.048,0.098,0.51,0.11,0.391,0.24,0.485,0.134,0.625,0.204,FALSE,TRUE
"1996-11-13","SAS",FALSE,0.395,0.348,0.75,0.507,0.4,0.579,0.263,0.489,0.447,0.6,0.102,0.109,0.447,0.213,0.325,0.197,0.56,0.193,0.583,0.147,FALSE,FALSE
"1996-11-15","LAC",TRUE,0.507,0.4,0.675,0.506,0.4,0.609,0.548,0.591,0.474,0.838,0.135,0.07,0.548,0.181,0.324,0.37,0.531,0.194,0.61,0.173,TRUE,TRUE
"1996-11-17","PHO",TRUE,0.493,0.417,0.686,0.424,0.211,0.8,0.507,0.604,0.525,0.765,0.095,0.03,0.565,0.192,0.182,0.348,0.447,0.133,0.766,0.141,FALSE,TRUE
"1996-11-19","GSW",TRUE,0.575,0.533,0.522,0.513,0.538,0.722,0.288,0.621,0.493,0.739,0.098,0.111,0.625,0.126,0.25,0.15,0.6,0.146,0.73,0.163,FALSE,FALSE
"1996-11-20","UTA",FALSE,0.429,0.409,0.593,0.556,0.25,0.833,0.321,0.506,0.481,0.583,0.043,0.083,0.482,0.135,0.314,0.19,0.576,0.129,0.767,0.417,TRUE,TRUE
"1996-11-22","SAS",TRUE,0.5,0.333,0.714,0.5,0.25,0.55,0.4,0.583,0.493,0.657,0.15,0.05,0.543,0.179,0.342,0.286,0.521,0.206,0.649,0.153,TRUE,FALSE
"1996-11-24","HOU",FALSE,0.419,0.429,0.56,0.418,0.37,0.774,0.338,0.5,0.493,0.645,0.096,0.05,0.48,0.133,0.306,0.189,0.493,0.174,0.676,0.358,TRUE,TRUE
"1996-11-26","PHI",TRUE,0.436,0.304,0.641,0.366,0.278,0.833,0.5,0.525,0.48,0.676,0.123,0.067,0.481,0.159,0.313,0.321,0.392,0.172,0.63,0.161,FALSE,FALSE
"1996-11-27","BOS",FALSE,0.44,0.286,0.5,0.512,0.556,0.7,0.333,0.488,0.455,0.514,0.083,0.164,0.476,0.102,0.208,0.167,0.543,0.128,0.75,0.256,FALSE,FALSE
"1996-11-29","DET",TRUE,0.508,0.412,0.5,0.342,0.269,0.792,0.338,0.562,0.513,0.636,0.074,0.021,0.562,0.194,0.258,0.169,0.39,0.144,0.681,0.26,FALSE,TRUE
"1996-12-01","DEN",TRUE,0.494,0.353,0.6,0.405,0.333,0.84,0.37,0.552,0.512,0.7,0.082,0.095,0.531,0.16,0.293,0.222,0.446,0.159,0.721,0.25,TRUE,FALSE
"1996-12-03","SEA",TRUE,0.5,0.474,0.654,0.494,0.353,0.688,0.31,0.576,0.474,0.762,0.089,0.145,0.554,0.112,0.333,0.202,0.532,0.123,0.615,0.278,TRUE,TRUE
"1996-12-04","UTA",FALSE,0.341,0.214,0.533,0.522,0.462,0.885,0.366,0.394,0.512,0.5,0.114,0.125,0.36,0.128,0.357,0.195,0.565,0.166,0.8,0.333,FALSE,TRUE
"1996-12-06","ORL",TRUE,0.413,0.333,0.75,0.364,0.333,0.55,0.48,0.506,0.554,0.774,0.102,0.229,0.433,0.125,0.364,0.36,0.398,0.102,0.729,0.125,TRUE,TRUE
"1996-12-08","MIN",TRUE,0.526,0.533,0.769,0.398,0.188,0.813,0.333,0.615,0.488,0.756,0.157,0.125,0.577,0.168,0.316,0.256,0.415,0.202,0.63,0.148,TRUE,TRUE
"1996-12-10","SAC",TRUE,0.474,0.182,0.64,0.447,0.1,0.84,0.321,0.517,0.463,0.595,0.133,0.121,0.487,0.136,0.256,0.205,0.454,0.171,0.692,0.276,FALSE,FALSE
"1996-12-11","IND",TRUE,0.392,0.353,0.517,0.349,0.571,0.538,0.392,0.455,0.454,0.793,0.07,0.132,0.432,0.113,0.222,0.203,0.373,0.113,0.654,0.169,TRUE,FALSE
"1996-12-13","POR",TRUE,0.489,0.462,0.774,0.532,0.474,0.765,0.337,0.568,0.513,0.711,0.129,0.183,0.522,0.094,0.333,0.261,0.589,0.176,0.758,0.329,TRUE,TRUE
"1996-12-17","CHI",FALSE,0.505,0.35,0.571,0.446,0.478,0.778,0.368,0.557,0.467,0.354,0.067,0.051,0.542,0.12,0.333,0.211,0.5,0.093,0.579,0.277,FALSE,TRUE
"1996-12-18","MIL",TRUE,0.554,0.667,0.781,0.483,0.4,0.607,0.432,0.63,0.481,0.512,0.072,0.091,0.581,0.162,0.25,0.338,0.506,0.153,0.638,0.195,FALSE,FALSE
"1996-12-21","MIN",FALSE,0.397,0.545,0.714,0.506,0.462,0.76,0.359,0.487,0.58,0.452,0.078,0.109,0.436,0.181,0.422,0.256,0.545,0.129,0.778,0.247,FALSE,TRUE
"1996-12-25","PHO",TRUE,0.488,0.471,0.6,0.351,0.286,0.756,0.357,0.556,0.576,0.537,0.094,0.05,0.536,0.102,0.225,0.214,0.378,0.115,0.846,0.419,FALSE,TRUE
"1996-12-27","BOS",TRUE,0.474,0.45,0.538,0.537,0.125,0.591,0.684,0.551,0.518,0.611,0.125,0.108,0.533,0.132,0.367,0.368,0.543,0.149,0.722,0.159,TRUE,FALSE
"1996-12-29","PHI",TRUE,0.511,0.375,0.731,0.45,0.294,0.714,0.295,0.578,0.427,0.689,0.196,0.111,0.545,0.116,0.293,0.216,0.481,0.194,0.561,0.313,TRUE,FALSE
"1997-01-02","SAC",TRUE,0.422,0.5,0.682,0.423,0.333,0.583,0.265,0.486,0.523,0.429,0.059,0.087,0.452,0.079,0.364,0.181,0.442,0.153,0.682,0.179,FALSE,FALSE
"1997-01-03","SAC",TRUE,0.376,0.35,0.806,0.422,0.389,0.64,0.424,0.496,0.522,0.531,0.069,0.108,0.418,0.114,0.444,0.341,0.464,0.138,0.596,0.193,TRUE,FALSE
"1997-01-05","VAN",TRUE,0.463,0.455,0.696,0.345,0.316,0.571,0.288,0.527,0.429,0.892,0.101,0.088,0.494,0.151,0.279,0.2,0.379,0.139,0.545,0.184,FALSE,FALSE
"1997-01-06","POR",FALSE,0.473,0.2,0.458,0.384,0.286,0.7,0.324,0.497,0.432,0.514,0.057,0.102,0.493,0.142,0.179,0.149,0.411,0.117,0.667,0.384,FALSE,TRUE
