Rk,Player,Date,Age,Team,Sep,Opp,Result,GS,MP,FG,FGA,FGper,TwoP,TwoPA,TwoPper,ThreeP,ThreePA,ThreePper,FT,FTA,FTper,TSper,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos,Player_additional
1,Kobe Bryant,1996-11-03,18-072,LAL,,MIN,W 91-85,0,6,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,0,0,1,1,1,0,-1.1,-12.1,G-F,bryanko01
2,Kobe Bryant,1996-11-05,18-074,LAL,@,NYK,W 98-92,0,3,0,1,.000,0,1,.000,0,0,,1,2,.500,.266,0,0,0,0,0,0,1,0,1,-1.1,-34.6,G-F,bryanko01
3,Kobe Bryant,1996-11-06,18-075,LAL,@,CHH,L 78-88,0,7,2,3,.667,1,1,1.000,1,2,.500,0,0,,.833,0,0,0,0,0,0,3,0,5,0.7,-9.7,G-F,bryanko01
4,Kobe Bryant,1996-11-08,18-077,LAL,@,TOR,L 92-93,0,17,3,8,.375,1,5,.200,2,3,.667,2,4,.500,.512,0,3,3,0,0,1,0,3,10,5.2,3.3,G-F,bryanko01
5,Kobe Bryant,1996-11-10,18-079,LAL,,ATL,W 92-85,0,8,0,3,.000,0,3,.000,0,0,,2,2,1.000,.258,1,2,3,1,0,0,0,0,2,1.9,-4.0,G-F,bryanko01
6,Kobe Bryant,1996-11-12,18-081,LAL,@,HOU,W 126-115 (2OT),0,5,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,0,1,1,0,0,0,2,0,2,-0.7,-22.7,G-F,bryanko01
7,Kobe Bryant,1996-11-13,18-082,LAL,@,SAS,L 83-95,0,6,2,2,1.000,1,1,1.000,1,1,1.000,1,1,1.000,1.230,0,0,0,0,1,0,0,2,6,5.6,32.0,G-F,bryanko01
8,Kobe Bryant,1996-11-15,18-084,LAL,,LAC,W 107-100,0,7,1,4,.250,1,2,.500,0,2,.000,2,3,.667,.376,0,0,0,0,0,0,1,4,4,-1.4,-31.4,G-F,bryanko01
9,Kobe Bryant,1996-11-17,18-086,LAL,@,PHO,W 102-88,0,14,5,8,.625,1,2,.500,4,6,.667,2,2,1.000,.901,2,0,2,2,0,0,4,2,16,10.4,14.9,G-F,bryanko01
10,Kobe Bryant,1996-11-19,18-088,LAL,@,GSW,W 112-109,0,8,0,2,.000,0,1,.000,0,1,.000,3,4,.750,.399,0,2,2,1,0,0,1,2,3,0.7,-19.6,G-F,bryanko01
11,Kobe Bryant,1996-11-20,18-089,LAL,,UTA,L 97-113,0,21,4,5,.800,1,2,.500,3,3,1.000,0,0,,1.100,0,1,1,1,0,1,2,1,11,8.4,10.4,G-F,bryanko01
12,Kobe Bryant,1996-11-26,18-095,LAL,@,PHI,W 100-88,0,21,4,10,.400,2,5,.400,2,5,.400,2,2,1.000,.551,0,1,1,1,0,0,3,1,12,4.2,-5.3,G-F,bryanko01
13,Kobe Bryant,1996-11-27,18-096,LAL,@,BOS,L 94-110,0,20,1,7,.143,1,4,.250,0,3,.000,0,0,,.143,1,3,4,1,0,1,2,3,2,-2.7,-19.7,G-F,bryanko01
14,Kobe Bryant,1996-11-29,18-098,LAL,@,DET,W 84-76,0,7,0,1,.000,0,1,.000,0,0,,1,2,.500,.266,1,0,1,0,0,1,0,1,1,0.9,2.1,G-F,bryanko01
15,Kobe Bryant,1996-12-01,18-100,LAL,,DEN,W 104-96,0,3,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,1,1,0,0,0,1,0,2,0.3,-19.4,G-F,bryanko01
16,Kobe Bryant,1996-12-04,18-103,LAL,@,UTA,L 75-101,0,13,2,6,.333,2,6,.333,0,0,,4,6,.667,.463,1,2,3,2,0,0,1,1,8,5.1,3.2,G-F,bryanko01
17,Kobe Bryant,1996-12-08,18-107,LAL,,MIN,W 110-86,0,22,3,10,.300,3,7,.429,0,3,.000,5,6,.833,.435,2,1,3,3,2,2,3,2,11,8.2,-2.1,G-F,bryanko01
18,Kobe Bryant,1996-12-10,18-109,LAL,@,SAC,W 92-90,0,6,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,1,1,0,1,0,0,0.3,-5.0,G-F,bryanko01
19,Kobe Bryant,1996-12-17,18-116,LAL,@,CHI,L 123-129 (OT),0,10,2,5,.400,1,3,.333,1,2,.500,0,2,.000,.425,0,1,1,0,0,1,0,1,5,2.1,0.5,G-F,bryanko01
20,Kobe Bryant,1996-12-18,18-117,LAL,@,MIL,W 111-105,0,8,0,0,,0,0,,0,0,,0,0,,,2,1,3,1,0,1,1,0,0,2.1,7.2,G-F,bryanko01
21,Kobe Bryant,1996-12-21,18-120,LAL,@,MIN,L 88-103,0,12,2,3,.667,1,1,1.000,1,2,.500,0,0,,.833,0,1,1,0,0,1,3,2,5,0.9,-5.9,G-F,bryanko01
22,Kobe Bryant,1996-12-25,18-124,LAL,@,PHO,W 108-87,0,5,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,1,0,-1.5,-22.5,G-F,bryanko01
23,Kobe Bryant,1996-12-29,18-128,LAL,,PHI,W 115-102,0,7,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,0,1,0,1,3,0,-1.6,-22.0,G-F,bryanko01
24,Kobe Bryant,1997-01-02,18-132,LAL,@,SAC,W 90-83,0,10,2,3,.667,2,2,1.000,0,1,.000,0,0,,.667,0,1,1,2,1,0,0,3,4,4.2,10.6,G-F,bryanko01
25,Kobe Bryant,1997-01-03,18-133,LAL,,SAC,W 100-93,0,22,6,10,.600,6,8,.750,0,2,.000,9,10,.900,.729,2,3,5,1,2,2,0,1,21,22.0,28.7,G-F,bryanko01
26,Kobe Bryant,1997-01-05,18-135,LAL,@,VAN,W 95-82,0,29,6,9,.667,5,8,.625,1,1,1.000,3,4,.750,.743,3,2,5,3,1,0,2,3,16,14.3,7.7,G-F,bryanko01
27,Kobe Bryant,1997-01-06,18-136,LAL,@,POR,L 84-88,0,23,3,9,.333,2,6,.333,1,3,.333,1,2,.500,.405,0,2,2,2,2,0,2,3,8,3.3,-0.6,G-F,bryanko01
28,Kobe Bryant,1997-01-08,18-138,LAL,,CHH,W 101-97,0,22,4,13,.308,4,11,.364,0,2,.000,1,2,.500,.324,1,0,1,2,2,1,2,2,9,3.1,-4.3,G-F,bryanko01
29,Kobe Bryant,1997-01-10,18-140,LAL,,MIA,W 94-85,0,8,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,1,2,3,0,0,0,2,0,2,-0.4,-15.8,G-F,bryanko01
30,Kobe Bryant,1997-01-14,18-144,LAL,,VAN,W 91-81,0,6,1,6,.167,1,4,.250,0,2,.000,0,0,,.167,0,0,0,0,1,0,0,1,2,-1.2,-19.9,G-F,bryanko01
31,Kobe Bryant,1997-01-18,18-148,LAL,,DET,L 97-100 (2OT),0,32,8,13,.615,5,8,.625,3,5,.600,2,2,1.000,.756,0,2,2,5,1,0,4,1,21,15.8,15.0,G-F,bryanko01
32,Kobe Bryant,1997-01-20,18-150,LAL,,DAL,W 109-99,0,13,3,7,.429,3,7,.429,0,0,,0,0,,.429,1,1,2,1,1,0,5,2,6,-0.8,-21.8,G-F,bryanko01
33,Kobe Bryant,1997-01-24,18-154,LAL,,GSW,W 114-97,0,25,4,8,.500,3,4,.750,1,4,.250,8,8,1.000,.738,3,3,6,4,1,0,3,2,17,16.0,9.4,G-F,bryanko01
34,Kobe Bryant,1997-01-26,18-156,LAL,@,SEA,W 104-103,0,17,3,6,.500,2,5,.400,1,1,1.000,0,0,,.583,1,0,1,1,1,0,3,0,7,3.4,-3.3,G-F,bryanko01
35,Kobe Bryant,1997-01-28,18-158,LAL,@,DAL,W 102-83,1,32,5,11,.455,5,8,.625,0,3,.000,2,3,.667,.487,1,2,3,2,2,1,3,1,12,7.9,-2.1,G-F,bryanko01
36,Kobe Bryant,1997-01-29,18-159,LAL,@,SAS,W 99-92,1,30,6,12,.500,3,5,.600,3,7,.429,4,4,1.000,.690,1,3,4,0,2,2,3,2,19,14.2,9.2,G-F,bryanko01
37,Kobe Bryant,1997-02-02,18-163,LAL,,WSB,W 129-99,0,24,2,9,.222,2,8,.250,0,1,.000,9,9,1.000,.502,0,3,3,3,0,0,1,0,13,9.5,-1.9,G-F,bryanko01
38,Kobe Bryant,1997-02-04,18-165,LAL,@,LAC,L 86-108,0,23,2,10,.200,2,8,.250,0,2,.000,2,2,1.000,.276,1,2,3,0,2,0,2,2,6,0.3,-12.6,G-F,bryanko01
39,Kobe Bryant,1997-02-05,18-166,LAL,,CHI,W 106-90,0,13,2,7,.286,1,5,.200,1,2,.500,0,0,,.357,1,2,3,0,0,1,0,0,5,2.9,-2.1,G-F,bryanko01
40,Kobe Bryant,1997-02-12,18-173,LAL,@,MIN,W 100-84,0,11,0,4,.000,0,4,.000,0,0,,2,3,.667,.188,1,1,2,3,0,1,1,1,2,1.2,-6.5,G-F,bryanko01
41,Kobe Bryant,1997-02-13,18-174,LAL,@,DEN,W 132-117,0,20,4,10,.400,3,8,.375,1,2,.500,0,0,,.450,1,1,2,3,1,0,1,2,9,5.9,-6.5,G-F,bryanko01
42,Kobe Bryant,1997-02-16,18-177,LAL,,SEA,L 91-102,0,13,0,3,.000,0,2,.000,0,1,.000,0,0,,.000,0,1,1,0,0,0,2,2,0,-4.6,-27.8,G-F,bryanko01
43,Kobe Bryant,1997-02-19,18-180,LAL,,CLE,L 84-103,1,23,3,7,.429,1,3,.333,2,4,.500,2,2,1.000,.635,0,2,2,0,0,2,1,3,10,6.1,2.7,G-F,bryanko01
44,Kobe Bryant,1997-02-21,18-182,LAL,,VAN,W 99-91,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,1,1,0,0,0,2,0,2,0.0,-21.5,G-F,bryanko01
45,Kobe Bryant,1997-02-23,18-184,LAL,,NYK,L 121-127 (2OT),0,4,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,1,0,-1.5,-30.5,G-F,bryanko01
46,Kobe Bryant,1997-02-28,18-189,LAL,@,ATL,L 75-86,0,1,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-30.8,G-F,bryanko01
47,Kobe Bryant,1997-03-02,18-191,LAL,@,IND,L 85-101,0,21,4,9,.444,4,8,.500,0,1,.000,2,2,1.000,.506,1,0,1,1,0,0,1,1,10,5.3,-5.7,G-F,bryanko01
48,Kobe Bryant,1997-03-04,18-193,LAL,@,DAL,W 102-92,0,6,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,1,1,2,0,0,0,0,0,0,-0.4,-13.6,G-F,bryanko01
49,Kobe Bryant,1997-03-07,18-196,LAL,,HOU,L 90-111,0,17,3,10,.300,3,6,.500,0,4,.000,2,2,1.000,.368,0,1,1,1,1,0,1,1,8,2.8,-10.4,G-F,bryanko01
50,Kobe Bryant,1997-03-09,18-198,LAL,,NJN,W 115-105,0,26,3,6,.500,2,3,.667,1,3,.333,5,5,1.000,.732,1,1,2,2,2,1,0,3,12,12.9,8.3,G-F,bryanko01
51,Kobe Bryant,1997-03-12,18-201,LAL,,GSW,W 109-101,0,18,6,10,.600,2,4,.500,4,6,.667,2,3,.667,.795,1,0,1,0,3,0,3,4,18,12.1,15.3,G-F,bryanko01
52,Kobe Bryant,1997-03-14,18-203,LAL,,LAC,L 95-97,0,26,6,13,.462,3,9,.333,3,4,.750,1,2,.500,.576,2,2,4,1,3,0,1,2,16,12.8,11.8,G-F,bryanko01
53,Kobe Bryant,1997-03-16,18-205,LAL,,TOR,W 98-90 (OT),0,23,2,9,.222,0,2,.000,2,7,.286,4,4,1.000,.465,1,4,5,1,0,0,1,2,10,5.3,-2.0,G-F,bryanko01
54,Kobe Bryant,1997-03-17,18-206,LAL,@,DEN,W 113-94,0,10,3,7,.429,1,3,.333,2,4,.500,0,0,,.571,0,0,0,1,2,0,1,0,8,6.0,11.1,G-F,bryanko01
55,Kobe Bryant,1997-03-20,18-209,LAL,@,CLE,W 89-76,0,3,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,1,0,0,2,1,0,-2.1,-51.0,G-F,bryanko01
56,Kobe Bryant,1997-03-21,18-210,LAL,@,MIA,L 97-98,0,3,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.7,G-F,bryanko01
57,Kobe Bryant,1997-03-23,18-212,LAL,@,ORL,L 84-110,0,19,3,6,.500,3,5,.600,0,1,.000,2,2,1.000,.581,1,1,2,4,0,0,4,1,8,4.4,-5.4,G-F,bryanko01
58,Kobe Bryant,1997-03-24,18-213,LAL,@,NJN,W 109-84,0,9,2,3,.667,2,3,.667,0,0,,2,3,.667,.694,1,0,1,0,0,0,1,0,6,4.0,-0.5,G-F,bryanko01
59,Kobe Bryant,1997-03-26,18-215,LAL,,MIL,W 106-84,1,32,7,14,.500,5,10,.500,2,4,.500,3,4,.750,.603,0,1,1,4,2,0,1,1,19,15.3,8.9,G-F,bryanko01
60,Kobe Bryant,1997-03-27,18-216,LAL,@,VAN,W 102-98 (OT),1,43,6,16,.375,5,11,.455,1,5,.200,7,7,1.000,.524,4,4,8,4,3,0,3,3,20,16.8,2.9,G-F,bryanko01
61,Kobe Bryant,1997-04-01,18-221,LAL,@,SEA,W 99-97,0,12,4,5,.800,3,4,.750,1,1,1.000,0,0,,.900,0,1,1,1,0,0,2,5,9,4.1,-0.1,G-F,bryanko01
62,Kobe Bryant,1997-04-02,18-222,LAL,,DEN,W 110-85,0,16,2,6,.333,2,6,.333,0,0,,2,2,1.000,.436,1,2,3,3,1,0,1,1,6,5.6,-3.0,G-F,bryanko01
63,Kobe Bryant,1997-04-04,18-224,LAL,,SAS,L 83-94,0,17,4,6,.667,4,5,.800,0,1,.000,7,7,1.000,.826,0,0,0,3,0,0,3,2,15,10.7,9.9,G-F,bryanko01
64,Kobe Bryant,1997-04-06,18-226,LAL,,DAL,W 87-80,0,22,3,9,.333,1,5,.200,2,4,.500,5,5,1.000,.580,1,1,2,3,3,0,1,3,13,11.8,9.0,G-F,bryanko01
65,Kobe Bryant,1997-04-08,18-228,LAL,@,GSW,W 109-85,0,25,9,11,.818,7,8,.875,2,3,.667,4,7,.571,.852,1,1,2,3,1,0,5,3,24,16.6,5.9,G-F,bryanko01
66,Kobe Bryant,1997-04-09,18-229,LAL,@,UTA,L 89-101,0,33,3,12,.250,2,10,.200,1,2,.500,4,6,.667,.376,1,1,2,3,1,0,2,2,11,4.3,-6.2,G-F,bryanko01
67,Kobe Bryant,1997-04-11,18-231,LAL,,PHO,W 114-98,1,28,3,7,.429,2,5,.400,1,2,.500,0,0,,.500,1,0,1,1,1,0,1,2,7,3.9,-5.3,G-F,bryanko01
68,Kobe Bryant,1997-04-13,18-233,LAL,,UTA,W 100-98,0,16,3,5,.600,3,4,.750,0,1,.000,6,6,1.000,.785,1,0,1,4,0,1,1,0,12,12.9,22.3,G-F,bryanko01
69,Kobe Bryant,1997-04-17,18-237,LAL,,SAC,W 108-99,0,16,1,4,.250,1,3,.333,0,1,.000,1,2,.500,.307,0,2,2,1,1,0,3,2,3,-1.3,-19.1,G-F,bryanko01
70,Kobe Bryant,1997-04-18,18-238,LAL,@,LAC,W 123-95,0,15,0,0,,0,0,,0,0,,5,8,.625,.710,0,1,1,2,0,0,2,1,5,3.1,-4.2,G-F,bryanko01
71,Kobe Bryant,1997-04-20,18-240,LAL,@,POR,L 96-100,0,4,0,0,,0,0,,0,0,,2,2,1.000,1.136,0,1,1,1,0,1,2,0,2,1.7,7.3,G-F,bryanko01
72,Kobe Bryant,1997-10-31,19-069,LAL,,UTA,W 104-87,0,33,5,13,.385,5,11,.455,0,2,.000,13,14,.929,.600,0,3,3,5,1,0,1,1,23,19.5,6.8,G-F,bryanko01
73,Kobe Bryant,1997-11-04,19-073,LAL,@,SAC,W 101-98,0,21,2,10,.200,2,8,.250,0,2,.000,0,0,,.200,2,1,3,3,2,1,3,1,4,0.9,-7.9,G-F,bryanko01
74,Kobe Bryant,1997-11-07,19-076,LAL,,NYK,W 99-94,0,20,1,9,.111,1,7,.143,0,2,.000,2,3,.667,.194,0,1,1,1,1,0,0,2,4,-1.1,-12.7,G-F,bryanko01
75,Kobe Bryant,1997-11-09,19-078,LAL,,GSW,W 132-97,0,24,11,18,.611,9,15,.600,2,3,.667,1,2,.500,.662,2,1,3,5,3,1,0,1,25,24.9,20.8,G-F,bryanko01
76,Kobe Bryant,1997-11-16,19-085,LAL,,VAN,W 121-95,0,16,2,6,.333,1,2,.500,1,4,.250,6,6,1.000,.637,0,1,1,1,0,0,2,2,11,5.8,-7.8,G-F,bryanko01
