"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"4","1996-11-08","TOR","L 92-93",FALSE,17,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"11","1996-11-20","UTA","L 97-113",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","(0.677,2.29]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(2.92,4.51]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-0.439,0.949]"
"12","1996-11-26","PHI","W 100-88",FALSE,21,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"13","1996-11-27","BOS","L 94-110",FALSE,20,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","[-3.42,-1.83]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","[-3.22,-1.83]"
"17","1996-12-08","MIN","W 110-86",FALSE,22,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","(0.68,2]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"25","1997-01-03","SAC","W 100-93",FALSE,22,"(-0.9,0.593]","[-2.92,-1.46]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(-0.069,1.01]","(0.68,2]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(2.34,3.73]"
"26","1997-01-05","VAN","W 95-82",FALSE,29,"(-0.9,0.593]","[-2.92,-1.46]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","(1.34,2.92]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-0.439,0.949]"
"27","1997-01-06","POR","L 84-88",FALSE,23,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","[-2.37,-0.793]","(-1.83,-0.439]"
"28","1997-01-08","CHH","W 101-97",FALSE,22,"[-2.4,-0.9]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","[-2.37,-0.793]","(-1.83,-0.439]"
"31","1997-01-18","DET","L 97-100 (2OT)",FALSE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(1.34,2.92]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
"33","1997-01-24","GSW","W 114-97",FALSE,25,"[-2.4,-0.9]","[-2.92,-1.46]","[-2.17,-0.964]","[-2.56,-1.29]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(1.34,2.92]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","[-2.37,-0.793]","(-0.439,0.949]"
