Season,StartDate,EndDate,Teams
1980-81,1980-10-10,1981-05-14,"BOS,PHI,NYK,MIL,CHI,IND,SAS,KCK,HOU,PHO,LAL,POR"
1981-82,1981-10-30,1982-06-08,"BOS,PHI,NJN,WSB,MIL,ATL,SAS,DEN,HOU,LAL,SEA,PHO"
1982-83,1982-10-29,1983-05-31,"BOS,PHI,NJN,NYN,MIL,ATL,SAS,DEN,LAL,PHO,SEA,POR"
1983-84,1983-10-28,1984-06-12,"BOS,PHI,NYK,NJN,WSB,MIL,DET,ATL,UTA,DAL,DEN,KCK,LAL,POR,SEA,PHO"
1984-85,1984-10-26,1985-06-09,"BOS,PHI,NJN,WSB,MIL,DET,CHI,CLE,DEN,HOU,DAL,UTA,SAS,LAL,POR,PHO"
1985-86,1985-10-25,1986-06-08,"BOS,PHI,WSB,NJN,MIL,ATL,DET,CHI,HOU,DEN,DAL,UTA,SAC,SAS,LAL,POR"
1986-87,1986-10-31,1987-06-14,"BOS,PHI,WSB,ATL,DET,MIL,IND,CHI,DAL,UTA,HOU,DEN,LAL,POR,GSW,SEA"
1987-88,1987-11-06,1988-06-21,"BOS,WSB,NYK,DET,CHI,ATL,MIL,CLE,DEN,DAL,UTA,HOU,SAS,LAL,POR,SEA"
1988-89,1988-11-04,1989-06-13,"NYK,PHI,BOS,DET,CLE,ATL,MIL,CHI,UTA,HOU,DEN,LAL,PHO,SEA,GSW,POR"
1989-90,1989-11-03,1990-06-14,"PHI,BOS,NYK,DET,CHI,MIL,CLE,IND,SAS,UTA,DAL,DEN,HOU,LAL,POR,PHO"
1990-91,1990-11-02,1991-06-12,"BOS,PHI,NYK,CHI,DET,MIL,ATL,IND,SAS,UTA,HOU,POR,LAL,PHO,GSW,SEA"
1991-92,1991-11-01,1992-06-14,"BOS,NYK,NJN,MIA,CHI,CLE,DET,IND,UTA,SAS,POR,GSW,PHO,SEA,LAL,LAC"
1992-93,1992-11-06,1993-06-20,"NYK,BOS,NJN,CHI,CLE,CHH,ATL,IND,HOU,SAS,UTA,PHO,SEA,POR,LAC,LAL"
1993-94,1993-11-05,1994-06-22,"NYK,ORL,NJN,MIA,ATL,CHI,IND,CLE,HOU,SAS,UTA,DEN,SEA,PHO,GSW,POR"
1994-95,1994-11-04,1995-06-14,"ORL,NYK,BOS,IND,CHH,CHI,CLE,ATL,SAS,UTA,HOU,DEN,PHO,SEA,LAL,POR"
1995-96,1995-11-03,1996-06-16,"ORL,NYK,MIA,CHI,IND,CLE,ATL,DET,SAS,UTA,HOU,SEA,LAL,POR,PHO,SAC"
1999-97,1996-11-01,1997-06-13,"MIA,NYK,ORL,WSB,CHI,ATL,DET,CHH,UTA,HOU,MIN,SEA,LAL,POR,PHO,LAC"
1997-98,1997-10-31,1998-06-14,"MIA,NYK,NJN,CHI,IND,CHH,ATL,CLE,UTA,SAS,MIN,HOU,SEA,LAL,PHO,POR"
1998-99,1999-02-05,1999-06-25,"MIA,ORL,PHI,NYK,IND,ATL,DET,MIL,SAS,UTA,HOU,MIN,POR,LAL,PHO,SAC"
1999-00,1999-11-02,2000-06-19,"MIA,NYK,PHI,IND,CHH,TOR,DET,MIL,UTA,SAS,MIN,LAL,POR,PHO,SEA,SAC"
2000-01,2000-10-31,2001-06-15,"PHI,MIA,NYK,ORL,MIL,TOR,CHH,IND,SAS,UTA,DAL,MIN,LAL,SAC,PHO,POR"
2000-02,2001-10-30,2002-06-12,"NJN,BOS,ORL,PHI,DET,CHH,TOR,IND,SAS,DAL,MIN,UTA,SAC,LAL,POR,SEA"
2002-03,2002-10-29,2003-06-15,"NJN,PHI,BOS,ORL,DET,IND,NOH,MIL,SAS,DAL,MIN,UTA,SAC,LAL,POR,PHO"
2003-04,2003-10-28,2004-06-15,"NJN,MIA,NYK,BOS,IND,DET,NOH,MIL,MIN,SAS,DAL,MEM,HOU,DEN,LAL,SAC"
