Date,Sep,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1980-10-10,@,UTA,L,86,96,86.6,96.7,99.3,.144,.000,.449,46.5,41.0,5.0,7.1,.433,15.8,25.0,.089,.414,14.3,66.0,.276
1980-10-12,,SEA,W,107,96,103.0,92.4,103.9,.226,.000,.523,47.6,65.2,8.7,10.5,.495,14.3,25.5,.161,.443,17.3,66.1,.218
1980-10-15,@,GSW,L,92,95,98.1,101.3,93.8,.265,.036,.496,42.9,59.5,10.7,4.9,.452,16.3,31.9,.205,.411,17.5,52.9,.310
1980-10-17,,HOU,L,99,102,98.7,101.7,100.3,.110,.040,.472,54.9,59.6,6.0,10.3,.470,14.7,34.0,.050,.487,12.9,77.3,.333
1980-10-21,,LAL,W,107,103,102.0,98.2,104.9,.139,.000,.499,42.4,66.0,15.3,5.8,.465,11.6,31.5,.129,.444,23.4,55.6,.270
1980-10-24,,DAL,W,120,105,125.4,109.7,95.7,.286,.000,.586,48.8,59.6,11.5,7.7,.571,10.5,36.6,.176,.456,15.1,61.0,.418
1980-10-26,@,SEA,L,98,111,94.9,107.5,103.2,.385,.033,.461,45.1,71.1,4.8,6.4,.418,13.1,30.0,.242,.442,11.0,59.6,.284
1980-10-28,@,SAS,L,112,120,101.9,109.2,109.9,.154,.048,.504,48.4,70.0,2.7,5.4,.486,15.9,31.6,.106,.532,10.9,76.5,.213
1980-10-29,@,KCK,L,98,115,95.0,111.5,103.1,.333,.033,.475,49.0,44.7,11.6,7.1,.428,16.2,37.3,.233,.459,16.8,62.2,.435
1980-11-01,,UTA,L,87,95,,,,.161,.032,.437,56.3,64.1,,8.3,.419,18.8,,.097,.514,23.7,,.292
1980-11-02,,CLE,W,102,96,99.2,93.3,102.8,.267,.023,.531,52.2,65.1,4.9,12.2,.500,17.9,31.1,.186,.407,15.8,73.3,.242
1980-11-04,@,LAL,L,118,119,116.2,117.2,101.6,.142,.000,.524,48.4,67.9,8.9,4.3,.500,11.1,40.4,.113,.574,15.2,59.0,.117
1980-11-07,,GSW,W,122,113,110.1,102.0,110.8,.461,.011,.570,55.9,80.0,11.7,9.0,.506,18.3,43.5,.360,.483,19.3,68.1,.303
1980-11-08,,SDC,L,106,110,95.3,98.9,100.8,.323,.022,.499,45.1,73.3,11.7,8.3,.484,17.8,31.3,.172,.482,22.2,60.5,.329
1980-11-11,,KCK,L,101,102,96.7,97.6,104.5,.393,.011,.484,57.0,58.3,5.7,4.9,.404,18.7,39.2,.326,.494,18.3,78.6,.272
1980-11-14,@,DAL,L,106,113,97.4,103.9,108.8,.489,.011,.485,50.0,56.1,8.3,4.0,.456,15.5,31.6,.267,.485,11.3,69.8,.172
1980-11-15,@,DEN,L,123,125,107.4,109.2,114.5,.215,.009,.525,52.0,50.9,4.4,9.9,.514,12.0,32.7,.121,.478,12.3,73.9,.402
1980-11-16,@,PHO,L,107,119,98.8,109.9,108.3,.391,.033,.496,52.2,56.1,10.2,4.5,.446,17.6,36.7,.272,.494,14.6,69.8,.348
1980-11-18,,DEN,W,122,103,110.2,93.0,110.7,.494,.012,.589,51.0,68.1,13.5,2.2,.553,18.8,33.3,.329,.433,18.3,62.7,.278
1980-11-20,,MIL,L,93,97,93.4,97.5,99.5,.345,.012,.481,49.5,57.1,11.1,4.7,.417,17.8,30.4,.274,.442,15.6,68.9,.244
1980-11-23,,DAL,W,116,96,114.1,94.4,101.7,.494,.013,.603,63.8,65.1,8.9,14.0,.544,19.3,40.5,.380,.465,13.6,83.7,.186
1980-11-25,@,ATL,L,108,112,110.4,114.5,97.8,.229,.012,.591,54.8,57.8,7.2,9.2,.542,20.1,41.7,.217,.494,12.8,64.6,.299
1980-11-26,@,BOS,L,101,126,90.8,113.2,111.3,.297,.009,.402,45.2,48.8,11.7,2.2,.369,11.3,35.9,.171,.564,17.2,60.0,.213
1980-11-28,@,PHI,L,103,116,89.2,100.5,115.4,.383,.021,.469,49.5,76.3,12.1,10.6,.404,16.7,26.0,.287,.506,19.2,73.5,.337
1980-11-29,@,NYK,L,110,111,111.5,112.5,98.7,.198,.000,.477,57.7,48.9,10.1,6.0,.443,10.1,46.6,.151,.524,12.5,74.4,.259
1980-12-02,,NJN,L,105,118,107.4,120.7,97.8,.135,.038,.477,44.3,48.9,8.2,4.7,.452,8.3,36.4,.106,.558,14.6,57.6,.256
1980-12-04,@,SDC,W,103,100,104.2,101.1,98.9,.205,.023,.537,52.9,57.8,10.1,3.9,.517,16.5,30.6,.136,.581,19.8,78.1,.088
1980-12-05,,CHI,W,116,115,112.7,111.7,102.9,.340,.011,.537,46.6,57.4,10.7,8.2,.500,11.5,34.8,.234,.562,21.6,66.7,.452
1980-12-07,,SAS,W,116,115,113.5,112.5,102.2,.337,.000,.515,46.4,47.9,8.8,5.7,.490,8.2,36.7,.204,.552,19.1,60.0,.218
1980-12-09,,SEA,W,111,98,108.8,96.1,102.0,.500,.012,.555,47.1,73.7,12.7,5.1,.463,14.5,27.5,.427,.457,21.6,63.8,.296
1980-12-12,,HOU,W,106,100,106.9,100.8,99.2,.207,.011,.528,40.0,67.4,12.1,3.4,.500,11.5,27.5,.152,.457,20.5,50.0,.174
1980-12-14,@,PHO,W,116,110,106.0,100.5,109.4,.411,.022,.546,53.4,57.8,11.9,11.0,.500,17.8,38.6,.289,.457,16.4,68.2,.255
1980-12-17,@,GSW,W,115,113,116.3,114.3,98.9,.247,.024,.610,48.1,72.0,7.1,4.4,.594,17.5,35.1,.165,.495,13.5,59.5,.253
1980-12-19,@,LAL,W,110,106,106.9,103.0,102.9,.385,.000,.517,47.3,64.3,7.8,8.6,.462,12.4,31.3,.286,.479,14.0,65.1,.158
1980-12-20,,ATL,W,122,119,,,,,,,,,,,,,,,,,,
1980-12-21,,PHO,L,100,111,92.8,103.0,107.7,.293,.024,.540,43.0,65.0,13.9,7.1,.494,23.2,24.4,.232,.529,19.9,60.0,.218
1980-12-23,,LAL,W,108,102,99.4,93.9,108.6,.306,.024,.560,53.4,51.2,10.1,6.4,.512,19.9,27.0,.247,.426,15.7,72.5,.221
1980-12-25,,GSW,W,115,114,122.1,121.0,94.2,.472,.011,.535,44.7,54.8,3.2,8.0,.472,7.7,38.0,.348,.478,9.3,52.3,.297
1980-12-26,@,SEA,W,96,90,93.8,88.0,102.3,.212,.000,.517,52.2,45.0,7.8,7.9,.471,21.2,33.3,.188,.380,16.8,66.0,.217
1980-12-30,,PHI,W,109,108,110.1,109.1,99.0,.228,.011,.538,45.3,70.2,6.1,2.7,.511,12.9,25.0,.163,.554,18.9,71.4,.351
1981-01-01,,DEN,W,122,119,113.2,110.5,107.7,.381,.010,.538,52.7,53.1,5.6,4.8,.505,12.4,36.7,.247,.500,14.0,71.4,.368
1981-01-03,@,UTA,L,103,109,102.1,108.1,100.9,.359,.038,.570,49.4,61.5,5.0,4.9,.506,19.6,25.6,.308,.524,16.8,73.7,.280
1981-01-04,,BOS,L,111,120,112.9,122.0,98.3,.255,.071,.509,52.6,52.2,10.2,3.6,.474,11.4,40.9,.184,.606,15.5,67.6,.200
1981-01-06,,DET,W,110,90,111.8,91.5,98.4,.233,.011,.554,63.3,58.7,10.2,8.7,.511,19.5,52.4,.200,.409,13.8,72.9,.151
1981-01-09,@,SAS,L,86,102,86.8,102.9,99.1,.292,.022,.428,37.8,72.7,9.1,10.2,.371,13.0,19.2,.225,.455,14.4,58.7,.250
1981-01-10,@,HOU,L,105,106,113.8,114.9,92.2,.148,.037,.608,59.7,53.2,5.4,6.5,.586,21.8,48.3,.123,.489,8.2,66.7,.174
1981-01-14,@,KCK,W,110,91,111.0,91.9,99.1,.222,.000,.557,60.9,46.8,10.1,3.4,.522,17.5,48.6,.178,.441,16.8,70.0,.097
1981-01-16,@,CHI,W,113,112,119.1,118.0,94.9,.282,.000,.644,31.7,59.6,9.5,14.1,.603,15.4,16.1,.244,.466,13.3,41.2,.167
1981-01-18,@,MIL,L,103,110,94.7,101.1,108.8,.360,.023,.517,51.2,58.5,10.1,6.7,.477,23.1,37.8,.244,.511,18.5,66.7,.200
1981-01-20,@,CLE,L,94,99,96.5,101.6,97.4,.241,.036,.512,51.1,53.8,9.2,8.7,.476,20.0,37.5,.181,.436,14.1,62.5,.181
1981-01-23,,NYK,W,117,90,115.5,88.8,101.3,.204,.011,.577,51.0,66.7,12.8,5.4,.548,12.9,36.6,.161,.394,18.0,61.4,.170
1981-01-25,,SAS,W,118,100,120.5,102.2,97.9,.458,.000,.592,54.0,48.8,8.2,7.2,.518,13.8,38.1,.386,.452,14.0,68.9,.286
1981-01-26,@,LAL,L,112,124,96.5,106.9,116.0,.304,.069,.484,47.3,72.7,10.3,,.441,17.2,30.6,.216,.549,14.6,65.9,.118
1981-01-29,@,SDC,W,108,106,111.4,109.4,96.9,.202,.012,.590,50.0,60.4,8.3,5.9,.571,14.1,25.8,.143,.506,14.1,68.3,.207
1981-02-03,,WSB,W,111,104,104.1,97.5,96.6,.191,.011,.545,51.0,56.3,8.4,6.7,.511,17.1,30.4,.160,.452,17.0,70.0,.215
1981-02-04,@,GSW,L,100,115,96.2,110.6,104.0,.337,.045,.489,47.8,52.5,3.8,6.1,.455,17.7,38.9,.213,.465,12.1,55.9,.220
1981-02-06,@,SAS,L,96,122,88.8,112.9,108.1,.250,.058,.416,45.4,60.0,7.4,4.9,.385,14.1,32.8,.154,.531,15.7,66.7,.444
1981-02-08,,KCK,W,129,123,115.6,110.2,101.1,.333,.022,.605,55.7,58.5,4.5,9.8,.570,18.4,38.5,.247,.521,13.4,69.4,.240
1981-02-12,,SEA,L,109,112,116.9,120.1,93.3,.141,.010,.518,50.0,56.0,4.3,6.2,.505,7.9,36.2,.091,.519,9.3,66.7,.346
1981-02-13,@,DEN,L,143,162,114.1,129.3,125.3,.380,.030,.613,52.4,61.0,7.2,9.8,.600,20.4,41.9,.230,.566,9.7,63.4,.301
1981-02-15,,UTA,W,118,84,122.9,87.5,96.0,.471,.000,.562,59.7,55.8,15.6,10.3,.494,11.8,45.2,.368,.472,23.6,77.1,.239
