"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeGame","PlayOff"
"1983-10-29","NJN",TRUE,0.449,0,0.773,0.468,0,0.61,0.564,0.534,0.532,0.657,0.066,0.014,0.449,0.177,0.222,0.436,0.468,0.188,0.805,0.325,TRUE,TRUE
"1983-11-01","PHI",FALSE,0.35,0,0.731,0.488,0,0.7,0.252,0.398,0.519,0.639,0.109,0.113,0.35,0.123,0.4,0.184,0.488,0.191,0.707,0.263,FALSE,TRUE
"1983-11-03","NJN",FALSE,0.396,0.75,0.778,0.5,0,0.757,0.375,0.478,0.406,0.368,0.093,0.049,0.411,0.158,0.259,0.292,0.5,0.159,0.595,0.333,FALSE,TRUE
"1983-11-04","ATL",FALSE,0.375,0,0.732,0.488,1,0.692,0.513,0.459,0.535,0.433,0.062,0.035,0.375,0.21,0.481,0.375,0.494,0.156,0.596,0.209,FALSE,TRUE
"1983-11-08","KCK",TRUE,0.506,0,0.696,0.43,0.2,0.727,0.277,0.537,0.518,0.738,0.05,0.08,0.506,0.212,0.385,0.193,0.435,0.163,0.636,0.172,TRUE,TRUE
"1983-11-11","WSB",FALSE,0.48,0.5,0.771,0.495,0,0.939,0.35,0.537,0.549,0.604,0.116,0.043,0.485,0.141,0.37,0.27,0.495,0.127,0.75,0.326,FALSE,TRUE
"1983-11-12","BOS",FALSE,0.476,0,0.657,0.495,0,0.722,0.427,0.518,0.388,0.718,0.088,0.08,0.476,0.17,0.25,0.28,0.495,0.158,0.5,0.286,TRUE,TRUE
"1983-11-15","DET",TRUE,0.506,0,0.759,0.488,1,0.833,0.326,0.55,0.506,0.711,0.107,0.129,0.506,0.136,0.311,0.247,0.494,0.168,0.705,0.291,TRUE,TRUE
"1983-11-17","SEA",FALSE,0.511,0,0.8,0.453,1,0.889,0.217,0.546,0.433,0.702,0.04,0.085,0.511,0.114,0.227,0.174,0.458,0.083,0.604,0.337,TRUE,TRUE
"1983-11-19","IND",TRUE,0.564,0,0.688,0.514,0.25,0.914,0.41,0.597,0.476,0.636,0.191,0.076,0.564,0.227,0.314,0.282,0.521,0.266,0.679,0.457,TRUE,FALSE
"1983-11-23","UTA",TRUE,0.552,0,0.786,0.398,0.286,0.902,0.292,0.591,0.429,0.585,0.065,0.077,0.552,0.122,0.267,0.229,0.408,0.128,0.566,0.378,FALSE,TRUE
"1983-11-25","PHO",FALSE,0.449,0,0.8,0.568,0,0.625,0.385,0.515,0.455,0.8,0.082,0.057,0.449,0.149,0.243,0.308,0.568,0.113,0.65,0.227,FALSE,TRUE
"1983-11-27","LAL",FALSE,0.422,0,0.923,0.506,0,0.742,0.289,0.493,0.519,0.632,0.083,0.013,0.422,0.129,0.357,0.267,0.506,0.163,0.703,0.291,FALSE,TRUE
"1983-11-29","HOU",FALSE,0.463,0,0.708,0.469,0,0.755,0.585,0.533,0.354,0.342,0.099,0,0.463,0.127,0.283,0.415,0.469,0.174,0.444,0.494,FALSE,FALSE
"1983-12-02","SAS",FALSE,0.422,0,0.75,0.58,0.5,0.903,0.267,0.467,0.375,0.737,0.073,0.101,0.422,0.13,0.308,0.2,0.586,0.174,0.5,0.346,FALSE,FALSE
"1983-12-03","DAL",FALSE,0.519,0,0.75,0.529,0,0.75,0.304,0.558,0.5,0.732,0.074,0.012,0.519,0.167,0.306,0.228,0.529,0.118,0.694,0.207,FALSE,TRUE
"1983-12-06","BOS",FALSE,0.451,0,0.821,0.541,0.667,0.828,0.308,0.508,0.462,0.61,0.072,0.024,0.451,0.08,0.255,0.253,0.553,0.117,0.725,0.282,TRUE,TRUE
"1983-12-09","HOU",FALSE,0.389,0,0.717,0.547,0.5,0.69,0.558,0.473,0.457,0.676,0.104,0.083,0.389,0.113,0.407,0.4,0.552,0.215,0.543,0.233,TRUE,FALSE
"1983-12-10","CLE",FALSE,0.407,0,0.677,0.442,0,0.825,0.341,0.454,0.447,0.838,0.081,0.078,0.407,0.095,0.267,0.231,0.442,0.189,0.65,0.429,TRUE,FALSE
"1983-12-13","MIL",TRUE,0.424,0,0.706,0.456,0,0.8,0.4,0.48,0.575,0.583,0.093,0.026,0.424,0.099,0.467,0.282,0.456,0.146,0.69,0.203,TRUE,TRUE
"1983-12-15","NYK",TRUE,0.631,0,0.689,0.551,0.5,0.769,0.692,0.666,0.567,0.61,0.123,0.053,0.631,0.206,0.37,0.477,0.558,0.197,0.727,0.256,FALSE,TRUE
"1983-12-17","DAL",TRUE,0.506,0,0.774,0.344,0,0.688,0.403,0.563,0.6,0.744,0.07,0.094,0.506,0.216,0.353,0.312,0.344,0.111,0.765,0.244,TRUE,TRUE
"1983-12-22","MIL",TRUE,0.535,0,0.889,0.463,0.333,0.815,0.314,0.593,0.467,0.543,0.127,0.025,0.535,0.148,0.378,0.279,0.47,0.176,0.553,0.268,FALSE,TRUE
"1983-12-23","WSB",TRUE,0.534,0,0.769,0.468,0,0.677,0.295,0.573,0.638,0.723,0.067,0.067,0.534,0.123,0.564,0.227,0.468,0.134,0.707,0.273,TRUE,TRUE
"1983-12-27","NYK",TRUE,0.523,0,0.81,0.478,0.333,0.775,0.646,0.611,0.586,0.676,0.121,0.047,0.523,0.223,0.308,0.523,0.485,0.235,0.813,0.463,TRUE,TRUE
"1983-12-29","POR",TRUE,0.577,0,0.818,0.53,0,0.611,0.31,0.62,0.438,0.585,0.104,0.098,0.577,0.222,0.214,0.254,0.53,0.202,0.578,0.133,TRUE,TRUE
"1983-12-30","DET",FALSE,0.432,0.2,0.625,0.477,0,0.778,0.494,0.487,0.452,0.514,0.051,0.047,0.438,0.132,0.275,0.309,0.477,0.14,0.667,0.244,FALSE,TRUE
"1984-01-03","PHO",TRUE,0.458,0,0.667,0.488,0.5,0.727,0.47,0.509,0.494,0.737,0.129,0.041,0.458,0.115,0.255,0.313,0.506,0.197,0.806,0.2,TRUE,TRUE
"1984-01-04","IND",FALSE,0.435,0.333,0.636,0.506,0,0.8,0.259,0.47,0.533,0.568,0.07,0.034,0.441,0.202,0.277,0.165,0.506,0.112,0.8,0.135,FALSE,FALSE
"1984-01-06","WSB",FALSE,0.419,0.25,0.6,0.396,0,0.762,0.291,0.454,0.486,0.5,0.094,0.14,0.424,0.218,0.346,0.174,0.396,0.173,0.614,0.158,FALSE,TRUE
"1984-01-07","WSB",TRUE,0.424,0,0.714,0.392,0.143,0.667,0.247,0.462,0.552,0.806,0.055,0.083,0.424,0.113,0.261,0.176,0.399,0.157,0.82,0.127,TRUE,TRUE
"1984-01-10","IND",TRUE,0.434,0,0.679,0.488,0,0.786,0.283,0.472,0.525,0.605,0.13,0.084,0.434,0.171,0.404,0.192,0.488,0.213,0.69,0.262,TRUE,FALSE
"1984-01-11","NJN",FALSE,0.466,0,0.742,0.495,0,0.833,0.352,0.517,0.483,0.415,0.102,0.022,0.466,0.197,0.318,0.261,0.495,0.144,0.644,0.33,FALSE,TRUE
"1984-01-13","DET",FALSE,0.53,0,0.85,0.495,0,0.864,0.606,0.622,0.463,0.6,0.022,0.072,0.53,0.185,0.29,0.515,0.495,0.086,0.571,0.196,FALSE,TRUE
"1984-01-14","NYK",FALSE,0.457,0,0.75,0.537,0.5,0.686,0.391,0.515,0.533,0.833,0.073,0.1,0.457,0.085,0.426,0.293,0.543,0.141,0.684,0.293,TRUE,TRUE
"1984-01-17","CLE",FALSE,0.486,0,0.833,0.484,0,0.591,0.6,0.582,0.512,0.853,0.079,0.011,0.486,0.22,0.314,0.5,0.484,0.14,0.66,0.137,TRUE,FALSE
"1984-01-19","NYK",FALSE,0.474,0.25,0.679,0.487,0,0.778,0.368,0.521,0.457,0.611,0.079,0.013,0.48,0.234,0.293,0.25,0.487,0.187,0.625,0.461,FALSE,TRUE
"1984-01-21","CLE",TRUE,0.544,0,0.787,0.4,0,0.722,0.691,0.626,0.532,0.757,0.08,0.024,0.544,0.184,0.233,0.544,0.4,0.151,0.714,0.306,FALSE,FALSE
"1984-01-24","ATL",FALSE,0.447,0,0.833,0.528,0,0.75,0.395,0.521,0.526,0.706,0.082,0.1,0.447,0.127,0.368,0.329,0.528,0.14,0.684,0.333,TRUE,TRUE
"1984-01-26","DEN",FALSE,0.506,0,0.774,0.529,0,0.773,0.639,0.588,0.542,0.667,0.083,0.116,0.506,0.158,0.39,0.494,0.529,0.152,0.69,0.391,TRUE,TRUE
"1984-01-31","BOS",FALSE,0.384,0,0.63,0.446,0.2,0.676,0.314,0.424,0.396,0.667,0.081,0.057,0.384,0.17,0.111,0.198,0.451,0.171,0.692,0.25,TRUE,TRUE
"1984-02-01","ATL",FALSE,0.413,0.5,0.816,0.582,0,0.75,0.653,0.533,0.488,0.677,0.032,0.051,0.42,0.142,0.383,0.533,0.582,0.147,0.629,0.304,FALSE,TRUE
"1984-02-03","CLE",FALSE,0.4,0,0.5,0.5,0.667,0.629,0.188,0.413,0.471,0.588,0.082,0.063,0.4,0.171,0.261,0.094,0.512,0.141,0.707,0.268,FALSE,FALSE
"1984-02-04","NJN",FALSE,0.521,0,0.763,0.418,0.5,0.806,0.521,0.585,0.6,0.816,0.075,0.135,0.521,0.257,0.379,0.397,0.423,0.118,0.725,0.255,TRUE,TRUE
"1984-02-07","PHI",TRUE,0.547,0,0.846,0.446,0.5,0.667,0.347,0.602,0.587,0.732,0.094,0.111,0.547,0.203,0.364,0.293,0.452,0.156,0.762,0.169,TRUE,TRUE
"1984-02-08","NJN",TRUE,0.465,0.5,0.75,0.441,0,0.778,0.512,0.541,0.418,0.65,0.115,0.077,0.471,0.192,0.273,0.384,0.441,0.21,0.553,0.301,FALSE,TRUE
"1984-02-10","PHI",TRUE,0.472,0,0.865,0.378,0,0.742,0.514,0.566,0.579,0.618,0.081,0.035,0.472,0.214,0.316,0.444,0.378,0.111,0.754,0.256,FALSE,TRUE
"1984-02-11","GSW",TRUE,0.444,0,0.763,0.436,0,0.933,0.469,0.517,0.57,0.722,0.078,0.126,0.444,0.191,0.37,0.358,0.436,0.145,0.766,0.149,TRUE,FALSE
"1984-02-14","SDC",TRUE,0.564,0,0.857,0.478,0,0.688,0.359,0.62,0.475,0.841,0.099,0.079,0.564,0.15,0.156,0.308,0.478,0.168,0.688,0.12,TRUE,FALSE
"1984-02-17","SAS",FALSE,0.511,1,0.875,0.539,0,0.6,0.174,0.55,0.566,0.787,0.049,0.079,0.516,0.147,0.326,0.152,0.539,0.107,0.825,0.169,TRUE,FALSE
"1984-02-19","MIL",FALSE,0.447,1,0.714,0.595,0,0.619,0.412,0.513,0.519,0.658,0.06,0.049,0.459,0.145,0.318,0.294,0.595,0.146,0.788,0.155,TRUE,TRUE
"1984-02-21","UTA",FALSE,0.419,0,0.68,0.479,1,0.667,0.269,0.457,0.567,0.667,0.109,0.108,0.419,0.23,0.358,0.183,0.484,0.19,0.818,0.277,TRUE,TRUE
"1984-02-22","IND",TRUE,0.558,0,0.854,0.536,0.222,0.731,0.532,0.637,0.486,0.558,0.104,0.027,0.558,0.136,0.314,0.455,0.548,0.144,0.641,0.226,FALSE,FALSE
"1984-02-24","WSB",FALSE,0.449,0,0.8,0.536,0,0.706,0.225,0.491,0.5,0.7,0.075,0.072,0.449,0.101,0.277,0.18,0.536,0.116,0.756,0.143,TRUE,TRUE
"1984-02-25","ATL",FALSE,0.417,0,0.81,0.514,0,0.885,0.25,0.467,0.427,0.486,0.044,0.027,0.417,0.122,0.277,0.202,0.514,0.085,0.629,0.622,FALSE,TRUE
"1984-02-28","LAL",FALSE,0.478,0.333,0.724,0.588,0,0.727,0.322,0.525,0.531,0.651,0.05,0.037,0.483,0.135,0.326,0.233,0.588,0.1,0.763,0.282,TRUE,TRUE
"1984-02-29","MIL",FALSE,0.422,0,0.765,0.539,0,0.882,0.205,0.459,0.408,0.571,0.103,0.027,0.422,0.196,0.268,0.157,0.539,0.195,0.6,0.395,FALSE,TRUE
"1984-03-02","BOS",FALSE,0.494,0,0.933,0.493,0,0.821,0.172,0.534,0.493,0.488,0.085,0.042,0.494,0.146,0.308,0.161,0.493,0.166,0.694,0.438,FALSE,TRUE
"1984-03-03","ATL",TRUE,0.592,0,0.783,0.423,0,0.884,0.324,0.629,0.42,0.738,0.031,0.09,0.592,0.198,0.125,0.254,0.423,0.218,0.676,0.535,TRUE,TRUE
"1984-03-06","DET",FALSE,0.524,1,0.583,0.554,0,0.786,0.439,0.552,0.47,0.767,0.076,0.054,0.53,0.155,0.256,0.256,0.554,0.147,0.7,0.239,TRUE,TRUE
"1984-03-08","KCK",FALSE,0.557,0,0.857,0.537,0,0.818,0.159,0.584,0.529,0.408,0.088,0.111,0.557,0.175,0.273,0.136,0.537,0.142,0.771,0.329,FALSE,TRUE
"1984-03-10","SDC",FALSE,0.505,0.333,0.889,0.545,0,0.655,0.198,0.556,0.443,0.587,0.073,0.094,0.516,0.132,0.349,0.176,0.545,0.13,0.556,0.216,FALSE,FALSE
"1984-03-13","GSW",TRUE,0.562,0,0.571,0.5,0.333,0.577,0.236,0.57,0.551,0.46,0.13,0.026,0.562,0.209,0.526,0.135,0.512,0.201,0.575,0.179,FALSE,FALSE
"1984-03-15","SEA",FALSE,0.4,0,0.609,0.577,0,0.842,0.242,0.428,0.469,0.737,0.083,0.052,0.4,0.087,0.265,0.147,0.577,0.164,0.781,0.205,FALSE,TRUE
