"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeAway","PlayOff"
"1980-10-15","GSW","L",0.446,0.333,0.773,0.405,0.5,0.765,0.265,0.496,0.429,0.595,0.107,0.049,0.452,0.163,0.319,0.205,0.411,0.175,0.529,0.31,"Away",FALSE
"1980-10-26","SEA","L",0.418,0,0.629,0.442,0,0.659,0.385,0.461,0.451,0.711,0.048,0.064,0.418,0.131,0.3,0.242,0.442,0.11,0.596,0.284,"Away",FALSE
"1980-10-28","SAS","L",0.481,0.2,0.688,0.532,0,0.741,0.154,0.504,0.484,0.7,0.027,0.054,0.486,0.159,0.316,0.106,0.532,0.109,0.765,0.213,"Away",TRUE
"1980-11-02","CLE","W",0.5,0,0.696,0.407,0,0.957,0.267,0.531,0.522,0.651,0.049,0.122,0.5,0.179,0.311,0.186,0.407,0.158,0.733,0.242,"Home",FALSE
"1980-11-08","SDC","L",0.484,0,0.533,0.482,0,0.737,0.323,0.499,0.451,0.733,0.117,0.083,0.484,0.178,0.313,0.172,0.482,0.222,0.605,0.329,"Home",FALSE
"1980-11-15","DEN","L",0.514,0,0.565,0.478,0,0.725,0.215,0.525,0.52,0.509,0.044,0.099,0.514,0.12,0.327,0.121,0.478,0.123,0.739,0.402,"Away",FALSE
"1980-11-16","PHO","L",0.446,0,0.694,0.494,0,0.838,0.391,0.496,0.522,0.561,0.102,0.045,0.446,0.176,0.367,0.272,0.494,0.146,0.698,0.348,"Away",TRUE
"1980-11-26","BOS","L",0.369,0,0.576,0.564,0,0.741,0.297,0.402,0.452,0.488,0.117,0.022,0.369,0.113,0.359,0.171,0.564,0.172,0.6,0.213,"Away",TRUE
"1980-11-28","PHI","L",0.404,0,0.75,0.5,1,0.674,0.383,0.469,0.495,0.763,0.121,0.106,0.404,0.167,0.26,0.287,0.506,0.192,0.735,0.337,"Away",TRUE
"1980-12-04","SDC","W",0.511,0.5,0.667,0.563,0.75,0.583,0.205,0.537,0.529,0.578,0.101,0.039,0.517,0.165,0.306,0.136,0.581,0.198,0.781,0.088,"Away",FALSE
"1980-12-09","SEA","W",0.463,0,0.854,0.444,1,0.8,0.5,0.555,0.471,0.737,0.127,0.051,0.463,0.145,0.275,0.427,0.457,0.216,0.638,0.296,"Home",FALSE
"1980-12-12","HOU","W",0.5,0,0.737,0.457,0,0.8,0.207,0.528,0.4,0.674,0.121,0.034,0.5,0.115,0.275,0.152,0.457,0.205,0.5,0.174,"Home",TRUE
"1980-12-14","PHO","W",0.5,0,0.703,0.457,0,0.8,0.411,0.546,0.534,0.578,0.119,0.11,0.5,0.178,0.386,0.289,0.457,0.164,0.682,0.255,"Away",TRUE
"1980-12-21","PHO","L",0.488,0.5,0.792,0.529,0,0.613,0.293,0.54,0.43,0.65,0.139,0.071,0.494,0.232,0.244,0.232,0.529,0.199,0.6,0.218,"Home",TRUE
"1980-12-23","LAL","W",0.506,0.5,0.808,0.421,1,0.75,0.306,0.56,0.534,0.512,0.101,0.064,0.512,0.199,0.27,0.247,0.426,0.157,0.725,0.221,"Home",TRUE
"1980-12-25","GSW","W",0.472,0,0.738,0.473,0.333,0.711,0.472,0.535,0.447,0.548,0.032,0.08,0.472,0.077,0.38,0.348,0.478,0.093,0.523,0.297,"Home",FALSE
"1980-12-30","PHI","W",0.511,0,0.714,0.554,0,0.963,0.228,0.538,0.453,0.702,0.061,0.027,0.511,0.129,0.25,0.163,0.554,0.189,0.714,0.351,"Home",TRUE
"1981-01-01","DEN","W",0.505,0,0.649,0.494,0.333,0.8,0.381,0.538,0.527,0.531,0.056,0.048,0.505,0.124,0.367,0.247,0.5,0.14,0.714,0.368,"Home",FALSE
"1981-01-04","BOS","L",0.469,0.143,0.72,0.6,0.5,0.944,0.255,0.509,0.526,0.522,0.102,0.036,0.474,0.114,0.409,0.184,0.606,0.155,0.676,0.2,"Home",TRUE
"1981-01-06","DET","W",0.511,0,0.857,0.409,0,0.933,0.233,0.554,0.633,0.587,0.102,0.087,0.511,0.195,0.524,0.2,0.409,0.138,0.729,0.151,"Home",FALSE
"1981-01-18","MIL","L",0.477,0,0.677,0.511,0,0.72,0.36,0.517,0.512,0.585,0.101,0.067,0.477,0.231,0.378,0.244,0.511,0.185,0.667,0.2,"Away",TRUE
"1981-01-20","CLE","L",0.47,0.333,0.75,0.436,0,0.773,0.241,0.512,0.511,0.538,0.092,0.087,0.476,0.2,0.375,0.181,0.436,0.141,0.625,0.181,"Away",FALSE
"1981-01-23","NYK","W",0.548,0,0.789,0.394,0,0.64,0.204,0.577,0.51,0.667,0.128,0.054,0.548,0.129,0.366,0.161,0.394,0.18,0.614,0.17,"Home",TRUE
"1981-01-29","SDC","W",0.571,0,0.706,0.506,0,0.75,0.202,0.59,0.5,0.604,0.083,0.059,0.571,0.141,0.258,0.143,0.506,0.141,0.683,0.207,"Away",FALSE
"1981-02-03","WSB","W",0.511,0,0.833,0.452,0,0.952,0.191,0.545,0.51,0.563,0.084,0.067,0.511,0.171,0.304,0.16,0.452,0.17,0.7,0.215,"Home",FALSE
"1981-02-04","GSW","L",0.449,0.25,0.633,0.46,0.5,0.595,0.337,0.489,0.478,0.525,0.038,0.061,0.455,0.177,0.389,0.213,0.465,0.121,0.559,0.22,"Away",FALSE
"1981-02-08","KCK","W",0.57,0,0.742,0.521,0,0.742,0.333,0.605,0.557,0.585,0.045,0.098,0.57,0.184,0.385,0.247,0.521,0.134,0.694,0.24,"Home",TRUE
"1981-02-13","DEN","L",0.59,0.667,0.605,0.566,0,0.85,0.38,0.613,0.524,0.61,0.072,0.098,0.6,0.204,0.419,0.23,0.566,0.097,0.634,0.301,"Away",FALSE
"1981-02-17","WSB","W",0.574,0,0.8,0.432,0,0.667,0.213,0.603,0.54,0.5,0.068,0.099,0.574,0.112,0.294,0.17,0.432,0.106,0.698,0.232,"Away",FALSE
"1981-02-19","DET","W",0.523,0.5,0.688,0.424,0.25,0.73,0.364,0.563,0.488,0.717,0.057,0.091,0.528,0.143,0.256,0.25,0.429,0.114,0.689,0.293,"Away",FALSE
"1981-02-20","NJN","L",0.455,0.2,0.5,0.45,0,0.767,0.218,0.469,0.465,0.5,0.147,0.11,0.459,0.177,0.339,0.109,0.45,0.156,0.615,0.207,"Away",FALSE
