Season,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1981-82,0.73,0.95,,0.89,0.35,0.34,1.00,0.50,0.83,0.84,0.75,0.56,0.83,,,0.84,,0.36,,0.61,0.70,,0.94,0.89,0.79,0.44,0.64,,0.85,0.48
1982-83,0.73,0.89,,0.52,0.59,0.70,0.75,0.82,0.68,0.44,0.63,0.42,0.87,,,0.67,,0.73,,0.37,0.86,,0.66,0.73,0.56,0.73,0.64,,0.64,0.82
1983-84,0.78,0.85,,0.71,0.62,0.85,0.86,0.93,0.80,0.42,0.58,0.42,0.82,,,0.80,,0.86,,0.76,0.54,,0.88,0.81,0.92,0.63,0.68,,0.86,0.76
1984-85,0.71,0.97,,0.72,0.68,0.81,0.53,0.84,0.66,0.55,0.60,0.55,0.98,,,0.61,,0.82,,0.62,0.62,,0.82,0.73,0.60,0.87,0.73,,0.85,0.65
1985-86,0.77,0.80,,0.44,0.81,0.79,0.95,0.81,0.60,0.97,0.58,0.62,0.83,,,0.91,,0.91,,0.68,0.80,,0.82,0.79,0.82,0.81,0.51,,0.78,0.69
1986-87,0.90,0.90,,0.66,0.40,0.89,0.82,0.62,0.79,0.81,0.63,0.60,0.86,,,0.69,,0.43,,0.73,0.41,,0.46,0.74,0.80,0.76,0.62,,0.73,0.45
1987-88,0.99,0.79,,0.71,0.77,0.98,0.76,0.95,0.52,0.67,0.84,0.69,0.96,,,0.88,,0.46,,0.60,0.81,,0.66,0.57,0.84,0.68,0.70,,0.92,0.66
1988-89,0.68,0.74,,0.77,0.90,0.82,0.73,0.92,0.71,0.48,0.73,0.57,0.89,,,0.87,,0.41,,0.73,0.78,,0.60,0.69,0.82,0.49,0.43,,0.83,0.79
1989-90,0.73,0.89,0.56,0.83,0.72,0.96,0.81,0.95,0.62,0.66,0.84,0.75,0.83,,0.59,0.69,,0.54,,0.95,0.77,,0.69,0.83,0.64,0.75,0.27,,0.84,0.88
1990-91,0.87,0.75,0.64,0.89,0.73,0.74,0.41,0.97,0.83,0.73,0.89,0.83,0.74,,0.74,0.69,0.79,0.56,,0.89,0.70,0.76,0.58,0.78,0.88,0.20,0.70,,0.83,0.67
1991-92,0.50,0.77,0.74,0.96,0.79,0.62,0.60,0.79,0.76,0.88,0.92,0.77,0.77,,0.85,0.78,0.83,0.86,,0.68,0.94,0.74,0.84,0.95,0.94,0.54,0.72,,0.80,0.55
1992-93,0.73,0.82,0.73,0.86,0.88,0.63,0.66,0.66,0.66,0.75,0.77,0.58,0.82,,0.83,0.39,0.34,0.75,,0.60,0.88,0.62,0.51,0.56,0.73,0.77,0.54,,0.80,0.65
1993-94,0.71,0.77,0.66,0.57,0.78,0.48,0.82,0.44,0.74,0.84,0.61,0.72,0.68,,0.99,0.72,0.68,0.45,,0.86,0.72,0.76,0.45,0.77,0.84,0.76,0.72,,0.66,0.64
