"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeAway","PlayOff"
"1982-11-03","CHI","W",0.571,1,0.775,0.534,0.333,0.868,0.381,0.62,0.505,0.667,0.095,0.2,0.576,0.175,0.417,0.295,0.539,0.195,0.605,0.32,"Home",FALSE
"1982-11-09","WSB","W",0.506,1,0.7,0.5,0,0.565,0.353,0.55,0.483,0.651,0.091,0.022,0.512,0.19,0.211,0.247,0.5,0.19,0.694,0.141,"Away",FALSE
"1982-11-10","IND","W",0.608,0,0.826,0.364,0,0.731,0.291,0.645,0.524,0.625,0.067,0.122,0.608,0.198,0.233,0.241,0.364,0.14,0.685,0.192,"Home",FALSE
"1982-11-12","MIL","W",0.465,0,0.944,0.474,0,0.667,0.178,0.51,0.574,0.511,0.058,0.132,0.465,0.128,0.412,0.168,0.474,0.158,0.74,0.105,"Home",TRUE
"1982-11-17","PHI","L",0.472,0,0.704,0.55,0,0.556,0.303,0.511,0.468,0.667,0.083,0.051,0.472,0.192,0.327,0.213,0.55,0.156,0.622,0.1,"Away",TRUE
"1982-11-20","CHI","L",0.535,0.2,0.7,0.556,0,0.656,0.303,0.57,0.538,0.434,0.072,0.102,0.54,0.151,0.429,0.212,0.556,0.131,0.633,0.212,"Away",FALSE
"1982-11-23","HOU","W",0.554,0,0.765,0.436,0,0.621,0.37,0.598,0.505,0.392,0.084,0.02,0.554,0.177,0.462,0.283,0.436,0.156,0.534,0.178,"Away",FALSE
"1982-11-26","POR","W",0.491,0,0.718,0.463,0,0.811,0.368,0.536,0.552,0.462,0.135,0.174,0.491,0.146,0.415,0.264,0.463,0.177,0.721,0.316,"Home",TRUE
"1982-11-30","BOS","W",0.491,0,0.792,0.571,0,0.769,0.226,0.528,0.548,0.596,0.097,0.024,0.491,0.134,0.353,0.179,0.571,0.214,0.848,0.238,"Away",TRUE
"1982-12-01","SAS","W",0.548,0,0.684,0.391,0,0.806,0.226,0.568,0.469,0.696,0.082,0.165,0.548,0.155,0.282,0.155,0.391,0.146,0.596,0.272,"Home",TRUE
"1982-12-11","PHI","L",0.5,0,0.694,0.54,0,0.769,0.419,0.545,0.477,0.535,0.054,0.051,0.5,0.216,0.333,0.291,0.54,0.146,0.628,0.2,"Away",TRUE
"1982-12-15","BOS","L",0.433,0,0.703,0.458,0,0.78,0.411,0.489,0.5,0.41,0.085,0,0.433,0.165,0.352,0.289,0.458,0.172,0.682,0.386,"Home",TRUE
"1982-12-18","CLE","W",0.487,1,0.833,0.429,0.333,0.688,0.308,0.548,0.489,0.579,0.052,0.034,0.494,0.169,0.211,0.256,0.434,0.125,0.7,0.121,"Away",FALSE
"1982-12-21","NJN","W",0.5,0,0.8,0.426,0,0.647,0.305,0.548,0.464,0.756,0.117,0.072,0.5,0.225,0.349,0.244,0.426,0.169,0.556,0.109,"Away",TRUE
"1982-12-26","MIL","L",0.443,0,0.621,0.454,0,0.75,0.33,0.476,0.463,0.641,0.06,0.063,0.443,0.144,0.319,0.205,0.454,0.122,0.604,0.186,"Away",TRUE
"1982-12-28","UTA","L",0.408,0,0.636,0.416,0,0.656,0.214,0.435,0.46,0.5,0.053,0.03,0.408,0.144,0.257,0.136,0.416,0.115,0.75,0.208,"Away",FALSE
"1982-12-30","PHO","L",0.449,0.25,0.773,0.48,0,0.731,0.247,0.497,0.511,0.7,0.035,0.02,0.455,0.221,0.244,0.191,0.48,0.146,0.725,0.19,"Away",TRUE
"1983-01-02","LAL","L",0.522,0,0.727,0.598,0,0.654,0.239,0.551,0.579,0.771,0.039,0.022,0.522,0.171,0.444,0.174,0.598,0.112,0.774,0.185,"Away",TRUE
"1983-01-04","CHI","L",0.472,0.333,0.692,0.5,0,0.83,0.491,0.535,0.514,0.5,0.084,0.065,0.481,0.184,0.368,0.34,0.5,0.129,0.673,0.361,"Away",FALSE
"1983-01-05","CLE","W",0.558,0,0.829,0.473,0,0.903,0.477,0.625,0.662,0.563,0.045,0.11,0.558,0.187,0.457,0.395,0.473,0.144,0.833,0.301,"Home",FALSE
"1983-01-12","WSB","W",0.461,0,0.786,0.441,0.222,0.593,0.275,0.507,0.546,0.553,0.057,0.107,0.461,0.102,0.37,0.216,0.452,0.139,0.722,0.172,"Home",FALSE
"1983-01-19","MIL","W",0.448,1,0.903,0.418,0,0.706,0.356,0.532,0.485,0.564,0.06,0.124,0.454,0.166,0.396,0.322,0.418,0.117,0.564,0.245,"Home",TRUE
